           0   3.22950864E-03
           1   2.17206334E-03
           2   1.55368447E-03
           3   1.20068458E-03
           4   1.00468111E-03
           5   8.92346958E-04
           6   8.26283474E-04
           7   7.86267396E-04
           8   7.61146424E-04
           9   7.44655496E-04
          10   7.33324094E-04
          11   7.25200749E-04
          12   7.19158445E-04
          13   7.14521273E-04
          14   7.10872351E-04
          15   7.07943051E-04
          16   7.05549435E-04
          17   7.03564088E-04
          18   7.01899349E-04
          19   7.00484787E-04
          20   6.99271448E-04
          21   6.98222371E-04
          22   6.97307405E-04
          23   6.96503324E-04
          24   6.95791095E-04
          25   6.95158727E-04
          26   6.94592542E-04
          27   6.94083050E-04
          28   6.93622977E-04
          29   6.93205511E-04
          30   6.92826114E-04
          31   6.92479371E-04
          32   6.92161440E-04
          33   6.91868307E-04
          34   6.91600493E-04
          35   6.91352121E-04
          36   6.91121793E-04
          37   6.90907531E-04
          38   6.90708577E-04
          39   6.90523302E-04
          40   6.90351240E-04
