           1          60
           2          60
           3          60
           4          60
           5          60
           6          60
           7          60
           8          60
           9          60
          10          60
          11          60
          12          60
          13          60
          14          60
          15          60
          16          60
          17          60
          18          67
          19          71
          20          73
          21          76
          22          77
          23          79
          24          81
          25          82
          26          83
          27          85
          28          86
          29          87
          30          88
          31          89
          32          90
          33          91
          34          92
          35          93
          36          93
          37          94
          38          95
          39          95
          40          96
          41          97
          42          97
          43          98
          44          98
          45          99
          46          99
          47         100
          48         100
          49         100
          50         101
          51         101
          52         101
          53         101
          54         102
          55         102
          56         102
          57         102
          58         102
          59         102
          60         103
          61         103
          62         103
          63         103
          64         103
          65         103
          66         102
          67         102
          68         102
          69         102
          70         102
          71         102
          72         102
          73         101
          74         101
          75         101
          76         100
          77         100
          78         100
          79          99
          80          99
          81          99
          82          98
          83          98
          84          97
          85          97
          86          96
          87          96
          88          95
          89          95
          90          94
          91          94
          92          93
          93          92
          94          92
          95          91
          96          90
          97          89
          98          89
          99          88
         100          87
         101          86
         102          86
         103          85
         104          84
         105          83
         106          82
         107          81
         108          80
         109          79
         110          78
         111          77
         112          76
         113          75
         114          73
         115          72
         116          71
         117          69
         118          67
         119          65
         120          60
