x  f 
mm   
0.0000 20440.892998 
0.0355 0.049471 
0.0689 0.021022 
0.1044 0.009777 
0.1377 0.005582 
0.1732 0.005343 
0.2065 0.007744 
0.2421 0.010294 
0.2754 0.011740 
0.3109 0.012073 
0.3464 0.011475 
0.3797 0.010588 
0.4152 0.010568 
0.4485 0.009457 
0.4840 0.008615 
0.5173 0.007787 
0.5506 0.007168 
0.5861 0.006727 
0.6216 0.006983 
0.6549 0.007392 
0.6904 0.007872 
0.7237 0.008311 
0.7592 0.008260 
0.7925 0.008587 
0.8280 0.009078 
0.8613 0.009455 
0.8968 0.009900 
0.9300 0.010353 
0.9655 0.010571 
0.9988 0.010582 
1.0343 0.010899 
1.0675 0.011031 
1.1030 0.011227 
1.1363 0.012006 
1.1717 0.012869 
1.2050 0.014205 
1.2405 0.015847 
1.2737 0.017569 
1.3092 0.019003 
1.3424 0.020107 
1.3757 0.020986 
1.4112 0.021800 
1.4444 0.022456 
1.4799 0.023300 
1.5131 0.024327 
1.5486 0.025578 
1.5818 0.026923 
1.6173 0.027984 
1.6505 0.028761 
1.6859 0.029165 
1.7192 0.029818 
1.7546 0.030689 
1.7878 0.032096 
1.8233 0.033637 
1.8565 0.035481 
1.8919 0.037057 
1.9252 0.038605 
1.9606 0.040040 
1.9938 0.041360 
2.0292 0.042566 
2.0624 0.043612 
2.0979 0.045114 
2.1311 0.046925 
2.1643 0.049078 
2.1997 0.051259 
2.2329 0.053190 
2.2683 0.054761 
2.3015 0.056709 
2.3369 0.059287 
2.3701 0.062094 
2.4056 0.064912 
2.4387 0.067292 
2.4741 0.069191 
2.5073 0.071214 
2.5427 0.073223 
2.5759 0.075578 
2.6113 0.078099 
2.6445 0.080088 
2.6799 0.081751 
2.7131 0.083915 
2.7485 0.085727 
2.7816 0.087951 
2.8148 0.091053 
2.8502 0.093510 
2.8834 0.096623 
2.9188 0.099791 
2.9519 0.102679 
2.9873 0.105568 
3.0205 0.108657 
3.0558 0.111622 
3.0890 0.114973 
3.1244 0.118004 
3.1575 0.121095 
3.1907 0.124345 
3.2260 0.127353 
3.2592 0.130553 
3.2946 0.133698 
3.3277 0.136931 
3.3631 0.140322 
3.3962 0.143843 
3.4316 0.147299 
3.4647 0.151268 
3.4978 0.154931 
3.5332 0.158311 
3.5663 0.161951 
3.6017 0.165475 
3.6348 0.169030 
3.6701 0.173221 
3.7033 0.177165 
3.7386 0.180251 
3.7717 0.183454 
3.8071 0.186367 
3.8402 0.190018 
3.8733 0.193869 
3.9086 0.197721 
3.9417 0.201581 
3.9771 0.204882 
4.0102 0.208776 
4.0433 0.212814 
4.0786 0.217119 
4.1117 0.221339 
4.1470 0.225488 
4.1801 0.229860 
4.2154 0.233447 
4.2485 0.237518 
4.2838 0.241288 
4.3169 0.244930 
