x  f 
mm   
0.0000 15279094.428339 
0.0364 41.939817 
0.0727 20.936349 
0.1091 13.941443 
0.1455 10.446490 
0.1818 8.358047 
0.2182 6.971070 
0.2545 5.989579 
0.2909 5.259066 
0.3272 4.692524 
0.3613 4.272781 
0.3976 3.905035 
0.4340 3.603081 
0.4703 3.350621 
0.5067 3.136297 
0.5430 2.953198 
0.5793 2.791565 
0.6157 2.652350 
0.6520 2.531761 
0.6883 2.426220 
0.7224 2.341445 
0.7610 2.250916 
0.7951 2.182209 
0.8314 2.113627 
0.8677 2.051670 
0.9040 1.996103 
0.9403 1.944714 
0.9766 1.897516 
1.0130 1.852577 
1.0493 1.809025 
1.0856 1.765742 
1.1219 1.724175 
1.1559 1.687612 
1.1922 1.648522 
1.2285 1.609569 
1.2648 1.569953 
1.3011 1.528673 
1.3374 1.485513 
1.3737 1.441771 
1.4100 1.397209 
1.4463 1.352685 
1.4825 1.308604 
1.5188 1.265805 
1.5551 1.224676 
1.5914 1.186097 
1.6254 1.151837 
1.6617 1.118113 
1.6979 1.086780 
1.7342 1.057463 
1.7705 1.031173 
1.8068 1.008013 
1.8430 0.987886 
1.8793 0.971967 
1.9155 0.960200 
1.9518 0.952738 
1.9881 0.951076 
2.0243 0.953797 
2.0606 0.958983 
2.0946 0.968873 
2.1308 0.979659 
2.1670 0.993799 
2.2033 1.012052 
2.2395 1.033081 
2.2758 1.059000 
2.3120 1.087372 
2.3460 1.120547 
2.3822 1.157127 
2.4185 1.195820 
2.4547 1.237687 
2.4909 1.283331 
2.5271 1.332651 
2.5634 1.385505 
2.5996 1.443240 
2.6358 1.503159 
2.6698 1.566965 
2.7060 1.632109 
2.7422 1.698856 
2.7784 1.770328 
2.8146 1.845954 
2.8508 1.927178 
2.8870 2.011798 
2.9232 2.098855 
2.9594 2.187850 
2.9956 2.275775 
3.0318 2.364099 
3.0680 2.452197 
3.1042 2.541602 
3.1382 2.632194 
3.1743 2.720436 
3.2105 2.808241 
3.2467 2.887425 
3.2829 2.966280 
3.3191 3.043996 
3.3553 3.119309 
3.3914 3.197234 
3.4276 3.271003 
3.4638 3.339802 
3.5000 3.404019 
3.5361 3.465726 
3.5723 3.523657 
3.6085 3.578214 
3.6446 3.628264 
3.6808 3.673003 
3.7147 3.715979 
3.7508 3.751501 
3.7870 3.783350 
3.8232 3.810623 
3.8593 3.832738 
3.8955 3.852532 
3.9316 3.867766 
3.9677 3.878402 
4.0039 3.884522 
4.0400 3.885085 
4.0762 3.880797 
4.1123 3.873179 
4.1484 3.861973 
4.1846 3.847213 
4.2207 3.829872 
4.2568 3.808200 
4.2930 3.782478 
4.3291 3.751876 
4.3720 3.711815 
4.4081 3.674341 
4.4442 3.633884 
4.4803 3.592847 
4.5142 3.550813 
4.5503 3.504282 
4.5864 3.453997 
4.6225 3.400565 
4.6586 3.344823 
4.6947 3.286937 
4.7308 3.232050 
4.7647 3.176005 
4.8008 3.116070 
4.8369 3.054209 
4.8730 2.986926 
4.9091 2.919156 
4.9452 2.851201 
4.9813 2.782908 
5.0151 2.716995 
5.0512 2.651326 
5.0873 2.587519 
5.1233 2.526050 
5.1594 2.465360 
5.1955 2.405084 
5.2316 2.344815 
5.2676 2.284734 
5.3037 2.224409 
5.3375 2.164483 
5.3758 2.101243 
5.4119 2.038262 
5.4457 1.975609 
5.4818 1.911713 
5.5178 1.848241 
5.5561 1.783091 
5.5877 1.719084 
5.6192 1.653830 
5.6553 1.586291 
5.6891 1.518255 
5.7251 1.448340 
5.7612 1.377178 
5.7972 1.304588 
5.8310 1.231564 
5.8671 1.157315 
5.9031 1.082274 
5.9369 1.006357 
5.9729 0.929010 
6.0089 0.851067 
6.0450 0.772440 
6.0787 0.694004 
6.1148 0.615095 
6.1508 0.535689 
6.1846 0.456368 
6.2206 0.376899 
6.2566 0.297917 
6.2926 0.219256 
6.3264 0.140895 
6.3624 0.062688 
6.3984 -0.016001 
6.4344 -0.095457 
6.4682 -0.176125 
6.5042 -0.257968 
6.5402 -0.340680 
6.5762 -0.423649 
6.6099 -0.506398 
6.6459 -0.588505 
6.6819 -0.669724 
6.7179 -0.750154 
6.7516 -0.829747 
6.7876 -0.908854 
6.8236 -0.985965 
6.8596 -1.062728 
6.8933 -1.138723 
6.9293 -1.211614 
6.9653 -1.283357 
7.0013 -1.351205 
7.0350 -1.416133 
7.0710 -1.477310 
7.1069 -1.535318 
7.1406 -1.590877 
7.1766 -1.642950 
7.2126 -1.693009 
7.2485 -1.739983 
7.2822 -1.784582 
7.3182 -1.825931 
7.3542 -1.863899 
7.3879 -1.899964 
7.4238 -1.932606 
7.4598 -1.962835 
7.4957 -1.989895 
7.5294 -2.014609 
7.5654 -2.036433 
7.6013 -2.055135 
7.6372 -2.072145 
7.6732 -2.085685 
7.7069 -2.096290 
7.7428 -2.102745 
7.7787 -2.107155 
7.8124 -2.111901 
7.8484 -2.115563 
7.8843 -2.118701 
7.9202 -2.119776 
7.9539 -2.119388 
7.9898 -2.117355 
8.0235 -2.113915 
8.0594 -2.108770 
8.0953 -2.101802 
8.1312 -2.092320 
8.1671 -2.081831 
8.2008 -2.069517 
8.2367 -2.053819 
8.2704 -2.037386 
8.3063 -2.018086 
