x  f 
mm   
0.0000 65918.954510 
0.0295 0.202576 
0.0610 0.089912 
0.0926 0.059719 
0.1241 0.045992 
0.1535 0.039283 
0.1851 0.033903 
0.2166 0.030015 
0.2461 0.028675 
0.2776 0.028172 
0.3092 0.027451 
0.3407 0.026530 
0.3701 0.025508 
0.4017 0.023349 
0.4332 0.022500 
0.4647 0.022073 
0.4942 0.022162 
0.5257 0.023487 
0.5572 0.024647 
0.5888 0.025918 
0.6182 0.027038 
0.6497 0.027379 
0.6812 0.027720 
0.7127 0.028131 
0.7422 0.028535 
0.7737 0.029515 
0.8052 0.030702 
0.8346 0.031603 
0.8661 0.032293 
0.8976 0.032860 
0.9291 0.033232 
0.9586 0.034257 
0.9901 0.036304 
1.0216 0.038114 
1.0531 0.040181 
1.0825 0.042513 
1.1140 0.043869 
1.1455 0.045863 
1.1749 0.048143 
1.2064 0.050011 
1.2379 0.052266 
1.2694 0.054060 
1.2987 0.055840 
1.3302 0.057882 
1.3617 0.059905 
1.3911 0.062089 
1.4226 0.064797 
1.4541 0.067534 
1.4856 0.070574 
1.5150 0.074398 
1.5464 0.078828 
1.5779 0.083218 
1.6073 0.087827 
1.6388 0.091663 
1.6702 0.094443 
1.6996 0.097710 
1.7311 0.100214 
1.7626 0.102905 
1.7940 0.106015 
1.8234 0.108464 
1.8549 0.110676 
1.8863 0.113288 
1.9157 0.116216 
1.9471 0.119239 
1.9786 0.123122 
2.0101 0.126771 
2.0394 0.130249 
2.0709 0.133630 
2.1023 0.137409 
2.1317 0.141727 
2.1631 0.146003 
2.1946 0.150373 
2.2239 0.154620 
2.2554 0.158395 
2.2868 0.162618 
2.3183 0.166700 
2.3476 0.170781 
2.3791 0.174849 
2.4105 0.178517 
2.4398 0.182636 
2.4713 0.186899 
2.5027 0.191097 
2.5320 0.195365 
2.5635 0.199476 
2.5949 0.203308 
2.6242 0.207264 
2.6557 0.210972 
2.6871 0.214688 
2.7164 0.218712 
2.7478 0.222047 
2.7793 0.225315 
2.8107 0.227693 
2.8400 0.230658 
2.8714 0.233647 
2.9028 0.236988 
2.9321 0.241267 
2.9636 0.244552 
2.9950 0.248282 
3.0243 0.252090 
3.0557 0.255715 
3.0871 0.259945 
3.1164 0.264372 
3.1478 0.268389 
3.1792 0.272144 
3.2085 0.275981 
3.2399 0.279257 
3.2713 0.282799 
3.3006 0.286410 
3.3320 0.289853 
3.3634 0.293101 
3.3927 0.296222 
3.4241 0.299118 
3.4555 0.302078 
3.4848 0.305209 
3.5161 0.308091 
3.5475 0.310917 
3.5768 0.313797 
3.6082 0.316576 
3.6396 0.319368 
3.6689 0.322340 
3.7002 0.324956 
3.7316 0.327421 
3.7609 0.330167 
3.7923 0.333054 
3.8236 0.335724 
3.8529 0.338786 
3.8843 0.341521 
3.9156 0.344219 
3.9449 0.347010 
3.9763 0.349406 
4.0076 0.352097 
4.0369 0.354497 
4.0683 0.356987 
4.0996 0.359075 
4.1289 0.361231 
4.1602 0.363202 
4.1916 0.365248 
4.2209 0.367712 
4.2522 0.369811 
4.2815 0.371919 
4.3128 0.373609 
4.3441 0.375082 
4.3734 0.376805 
4.4047 0.378377 
4.4361 0.379986 
4.4653 0.381682 
4.4967 0.383122 
4.5280 0.384593 
4.5573 0.386165 
4.5886 0.387548 
4.6199 0.388846 
4.6492 0.390379 
4.6805 0.391687 
4.7118 0.393116 
4.7410 0.394484 
4.7724 0.395698 
4.8016 0.396973 
4.8329 0.398122 
4.8642 0.399226 
4.8935 0.400531 
4.9248 0.401512 
4.9561 0.402415 
4.9853 0.403416 
5.0166 0.404012 
5.0480 0.404631 
5.0772 0.405578 
5.1085 0.406242 
5.1377 0.407194 
5.1690 0.407849 
5.2003 0.408317 
5.2295 0.408872 
5.2608 0.409081 
5.2921 0.409499 
5.3213 0.410158 
5.3526 0.410770 
5.3818 0.411546 
5.4131 0.412115 
5.4444 0.412491 
5.4736 0.412976 
5.5049 0.413235 
5.5362 0.413383 
5.5654 0.413563 
5.5967 0.413692 
5.6259 0.413864 
5.6572 0.413917 
5.6884 0.414004 
5.7176 0.414252 
5.7489 0.414045 
5.7802 0.413814 
5.8094 0.413710 
5.8407 0.413313 
5.8698 0.413192 
5.9011 0.412957 
5.9324 0.412630 
5.9616 0.412258 
5.9928 0.411869 
6.0241 0.411352 
6.0533 0.410830 
6.0845 0.410190 
6.1137 0.409504 
6.1450 0.408563 
6.1762 0.407740 
6.2054 0.407166 
6.2366 0.406745 
6.2658 0.406278 
