x  f 
mm   
0.0000 21468.693931 
0.0083 0.544223 
0.0249 0.277555 
0.0414 0.203517 
0.0580 0.170591 
0.0746 0.144972 
0.0829 0.143478 
0.0995 0.128224 
0.1077 0.127973 
0.1160 0.130048 
0.1243 0.131203 
0.1409 0.122414 
0.1575 0.121769 
0.1740 0.128428 
0.1823 0.135820 
0.1989 0.142225 
0.2072 0.152046 
0.2237 0.150048 
0.2320 0.158389 
0.2486 0.160201 
0.2652 0.160752 
0.2735 0.168040 
0.2817 0.175205 
0.2983 0.176845 
0.3149 0.177835 
0.3232 0.183543 
0.3315 0.187071 
0.3397 0.190058 
0.3563 0.187586 
0.3729 0.186032 
0.3894 0.185349 
0.3977 0.188851 
0.4060 0.196276 
0.4143 0.199941 
0.4309 0.199405 
0.4474 0.198280 
0.4557 0.198523 
0.4640 0.199127 
0.4806 0.198382 
0.4888 0.203598 
0.5054 0.206101 
0.5137 0.214781 
0.5220 0.222480 
0.5385 0.224119 
0.5468 0.229166 
0.5634 0.228047 
0.5717 0.229924 
0.5799 0.234625 
0.5965 0.238281 
0.6048 0.245853 
0.6131 0.254399 
0.6213 0.259675 
0.6379 0.259852 
0.6545 0.259998 
0.6627 0.260829 
0.6793 0.260880 
0.6959 0.258215 
0.7124 0.256150 
0.7290 0.255760 
0.7373 0.255127 
0.7455 0.258003 
0.7621 0.256790 
0.7704 0.257976 
0.7786 0.259873 
0.7952 0.259851 
0.8118 0.259804 
0.8200 0.263270 
0.8366 0.267011 
0.8449 0.271565 
0.8614 0.272512 
0.8780 0.270622 
0.8863 0.268619 
0.9028 0.263695 
0.9194 0.259085 
0.9276 0.260488 
0.9442 0.259954 
0.9608 0.261088 
0.9690 0.266270 
0.9856 0.270086 
1.0021 0.275157 
1.0104 0.278097 
1.0270 0.276521 
1.0435 0.272407 
1.0518 0.271001 
1.0683 0.269113 
1.0766 0.269170 
1.0849 0.272543 
1.1014 0.274888 
1.1097 0.278062 
1.1180 0.284058 
1.1345 0.284314 
1.1511 0.281456 
1.1676 0.280564 
1.1842 0.278678 
1.1924 0.278147 
1.2007 0.277731 
1.2090 0.276148 
1.2255 0.274532 
1.2421 0.273005 
1.2504 0.275388 
1.2669 0.277289 
1.2835 0.277648 
1.2917 0.280563 
1.3072 0.280559 
