x  f 
mm   
0.0000 15649.030002 
0.0234 0.107375 
0.0450 0.082605 
0.0684 0.074145 
0.0918 0.070196 
0.1151 0.062307 
0.1367 0.061596 
0.1601 0.056467 
0.1835 0.052705 
0.2069 0.051131 
0.2303 0.048462 
0.2519 0.048193 
0.2752 0.047729 
0.2986 0.047483 
0.3202 0.047649 
0.3436 0.048240 
0.3669 0.048255 
0.3903 0.048710 
0.4119 0.048146 
0.4353 0.045774 
0.4587 0.043590 
0.4820 0.041208 
0.5036 0.038557 
0.5270 0.036497 
0.5503 0.035328 
0.5737 0.034080 
0.5953 0.033763 
0.6187 0.034095 
0.6420 0.034282 
0.6654 0.034695 
0.6870 0.035402 
0.7103 0.035590 
0.7337 0.035900 
0.7571 0.036188 
0.7786 0.036554 
0.8020 0.037179 
0.8253 0.037053 
0.8487 0.036585 
0.8703 0.035462 
0.8936 0.034204 
0.9170 0.032828 
0.9403 0.031351 
0.9619 0.030360 
0.9853 0.029500 
1.0086 0.029361 
1.0302 0.030027 
1.0535 0.030861 
1.0769 0.031675 
1.1002 0.032312 
1.1218 0.032266 
1.1451 0.031930 
1.1685 0.031236 
1.1918 0.030414 
1.2134 0.030163 
1.2367 0.029776 
1.2601 0.029314 
1.2834 0.028883 
1.3050 0.028341 
1.3283 0.027777 
1.3517 0.027647 
1.3750 0.027845 
1.3965 0.028130 
1.4199 0.028390 
1.4432 0.028574 
1.4648 0.028533 
1.4881 0.028256 
1.5114 0.028279 
1.5348 0.028660 
1.5563 0.029048 
1.5797 0.029397 
1.6030 0.029880 
1.6245 0.030159 
1.6479 0.030573 
1.6712 0.031021 
1.6945 0.031359 
1.7161 0.032541 
1.7394 0.033984 
1.7627 0.036044 
1.7842 0.038402 
1.8076 0.039647 
1.8309 0.040827 
1.8542 0.041545 
1.8757 0.042287 
1.8991 0.043136 
1.9224 0.043821 
1.9457 0.044489 
1.9672 0.044894 
1.9906 0.045290 
2.0139 0.045311 
2.0372 0.045781 
2.0587 0.046575 
2.0820 0.047089 
2.1054 0.048068 
2.1269 0.049046 
2.1502 0.050506 
2.1735 0.053279 
2.1950 0.056152 
2.2183 0.059342 
2.2416 0.061877 
2.2650 0.063989 
2.2865 0.065723 
2.3098 0.067462 
2.3331 0.069134 
2.3546 0.070641 
2.3779 0.072441 
2.4012 0.074220 
2.4245 0.076073 
2.4460 0.077535 
2.4693 0.078701 
2.4926 0.079565 
2.5159 0.080548 
2.5374 0.082170 
2.5607 0.083708 
2.5840 0.085448 
2.6055 0.087097 
2.6288 0.088817 
2.6521 0.090404 
2.6736 0.091927 
2.6969 0.093504 
2.7202 0.095148 
2.7435 0.097461 
2.7650 0.100146 
2.7883 0.102988 
2.8116 0.105938 
2.8331 0.108881 
2.8564 0.111736 
2.8797 0.114549 
2.9012 0.117512 
2.9245 0.120435 
2.9477 0.123498 
2.9710 0.126389 
2.9925 0.129487 
3.0158 0.132940 
3.0391 0.136197 
3.0606 0.139521 
3.0839 0.142203 
3.1071 0.143899 
3.1304 0.145633 
3.1519 0.147132 
3.1752 0.148932 
3.1985 0.151060 
3.2199 0.153293 
3.2432 0.155454 
3.2665 0.157888 
3.2880 0.160480 
3.3113 0.163011 
3.3345 0.165698 
3.3560 0.168252 
3.3793 0.171250 
3.4025 0.174319 
3.4240 0.177911 
3.4473 0.181673 
3.4706 0.184891 
3.4938 0.188377 
3.5153 0.191819 
3.5386 0.195204 
3.5618 0.198481 
3.5833 0.201730 
3.6066 0.204912 
3.6298 0.207754 
3.6513 0.210506 
3.6746 0.213086 
3.6978 0.215186 
3.7211 0.217365 
3.7425 0.219664 
3.7658 0.221439 
3.7891 0.223151 
3.8105 0.224698 
3.8338 0.225882 
3.8570 0.227120 
3.8785 0.228565 
3.9017 0.229957 
3.9250 0.231409 
3.9465 0.233029 
3.9697 0.234786 
3.9930 0.236518 
4.0144 0.238442 
4.0377 0.240454 
4.0609 0.242346 
4.0842 0.244628 
4.1056 0.247140 
4.1289 0.249766 
4.1521 0.252341 
4.1736 0.254895 
4.1968 0.257064 
4.2200 0.259004 
4.2415 0.260988 
4.2647 0.262754 
4.2880 0.264924 
4.3112 0.266857 
4.3326 0.268839 
4.3559 0.270265 
4.3791 0.271380 
4.4006 0.272440 
4.4238 0.273160 
4.4470 0.273910 
4.4685 0.274367 
4.4917 0.274884 
4.5149 0.275331 
4.5364 0.275956 
4.5596 0.277006 
4.5810 0.278035 
4.6043 0.279179 
4.6275 0.280388 
4.6489 0.281607 
4.6722 0.282830 
4.6954 0.284369 
4.7168 0.286389 
4.7400 0.288416 
4.7633 0.290644 
4.7847 0.292815 
4.8079 0.294696 
4.8311 0.296515 
4.8526 0.298364 
4.8758 0.299938 
4.8990 0.301125 
4.9222 0.302028 
4.9436 0.302730 
4.9669 0.303200 
4.9901 0.303646 
5.0115 0.303800 
5.0347 0.303988 
5.0579 0.303761 
5.0793 0.303834 
5.1026 0.304051 
5.1258 0.304035 
5.1472 0.304333 
5.1704 0.304511 
5.1918 0.304881 
5.2150 0.304924 
5.2382 0.305018 
5.2596 0.305158 
5.2828 0.305147 
5.3060 0.305521 
5.3275 0.306051 
5.3507 0.306840 
5.3739 0.307520 
5.3971 0.308486 
5.4185 0.309532 
5.4417 0.310030 
5.4649 0.310780 
5.4863 0.311070 
5.5095 0.311358 
5.5327 0.311737 
5.5541 0.311908 
5.5773 0.311811 
5.6005 0.311404 
5.6219 0.310697 
5.6451 0.309525 
5.6665 0.308369 
5.6896 0.306938 
5.7128 0.305372 
5.7342 0.304210 
5.7574 0.302984 
5.7788 0.301993 
5.8020 0.301159 
5.8252 0.300235 
5.8466 0.299824 
5.8698 0.299404 
5.8930 0.298835 
5.9161 0.298456 
5.9375 0.298257 
5.9607 0.297882 
5.9821 0.297900 
6.0053 0.297931 
6.0285 0.297596 
6.0516 0.297626 
6.0730 0.297705 
6.0962 0.297563 
6.1194 0.297357 
6.1408 0.296948 
6.1639 0.296401 
6.1853 0.295695 
6.2085 0.295019 
6.2317 0.293943 
6.2530 0.292774 
6.2762 0.291437 
6.2994 0.289928 
6.3208 0.288612 
6.3439 0.287119 
6.3653 0.285906 
6.3885 0.284458 
6.4099 0.283154 
6.4330 0.281840 
6.4562 0.280460 
6.4793 0.279429 
6.5007 0.278638 
6.5239 0.278195 
6.5452 0.277902 
6.5684 0.277499 
6.5916 0.277394 
6.6129 0.277147 
6.6361 0.277188 
6.6592 0.277073 
6.6806 0.276706 
6.7038 0.276137 
6.7269 0.275025 
6.7501 0.274014 
6.7714 0.272804 
6.7946 0.271608 
6.8160 0.270437 
6.8391 0.268984 
6.8605 0.267692 
6.8836 0.266018 
6.9068 0.264254 
6.9281 0.262523 
6.9513 0.260738 
6.9744 0.258744 
6.9958 0.257016 
7.0189 0.255128 
7.0403 0.253540 
7.0634 0.252313 
7.0865 0.251029 
7.1079 0.250073 
7.1310 0.248841 
7.1542 0.247868 
7.1755 0.247104 
7.1987 0.246175 
7.2218 0.245621 
7.2432 0.244750 
7.2663 0.243698 
7.2894 0.242781 
7.3108 0.241455 
7.3339 0.239969 
7.3570 0.238552 
7.3784 0.236737 
7.4015 0.234798 
7.4229 0.233035 
7.4460 0.230696 
7.4673 0.228608 
7.4905 0.226713 
7.5136 0.224620 
7.5349 0.222721 
7.5580 0.220650 
7.5794 0.218441 
7.6025 0.216368 
7.6238 0.214499 
7.6470 0.212929 
7.6701 0.211440 
7.6914 0.210138 
7.7145 0.208975 
7.7359 0.207830 
7.7590 0.206806 
7.7821 0.205609 
7.8034 0.204257 
7.8266 0.203034 
7.8497 0.201658 
7.8728 0.200297 
7.8941 0.199190 
7.9172 0.197808 
7.9403 0.196467 
7.9617 0.194936 
7.9848 0.193325 
8.0061 0.191578 
8.0292 0.189634 
8.0505 0.187926 
8.0736 0.185804 
8.0967 0.183764 
8.1181 0.181802 
8.1412 0.179610 
8.1625 0.177801 
8.1856 0.176102 
8.2069 0.174293 
8.2300 0.172908 
8.2531 0.171480 
8.2744 0.169946 
8.2975 0.168905 
8.3188 0.167613 
8.3419 0.166276 
8.3650 0.165288 
8.3863 0.164001 
8.4094 0.162645 
8.4325 0.161375 
8.4556 0.159947 
8.4769 0.158537 
8.4982 0.157328 
8.5213 0.156061 
