x  f 
mm   
0.0000 62879.813846 
0.0201 0.287857 
0.0401 0.155178 
0.0786 0.084593 
0.0987 0.071068 
0.1188 0.063327 
0.1388 0.053318 
0.1589 0.045745 
0.1790 0.042035 
0.1990 0.039151 
0.2191 0.037621 
0.2392 0.037479 
0.2592 0.036130 
0.2793 0.035093 
0.2994 0.035753 
0.3194 0.036197 
0.3395 0.036000 
0.3595 0.035182 
0.3980 0.031507 
0.4181 0.029960 
0.4381 0.028630 
0.4582 0.026885 
0.4782 0.026228 
0.4983 0.025650 
0.5183 0.024949 
0.5384 0.024510 
0.5585 0.023321 
0.5785 0.022295 
0.5986 0.022674 
0.6186 0.023686 
0.6387 0.024684 
0.6587 0.026077 
0.6972 0.025978 
0.7172 0.025973 
0.7373 0.026012 
0.7573 0.025702 
0.7774 0.027166 
0.7974 0.029306 
0.8175 0.031783 
0.8375 0.034756 
0.8576 0.037151 
0.8776 0.039022 
0.8976 0.040688 
0.9177 0.041372 
0.9377 0.041730 
0.9762 0.041370 
0.9962 0.041440 
1.0162 0.042734 
1.0363 0.044364 
1.0563 0.046148 
1.0764 0.047703 
1.0964 0.048634 
1.1164 0.049044 
1.1365 0.049574 
1.1565 0.050377 
1.1766 0.051612 
1.1966 0.052986 
1.2350 0.053876 
1.2550 0.055670 
1.2751 0.057338 
1.2951 0.059119 
1.3151 0.061035 
1.3352 0.063048 
1.3552 0.064608 
1.3752 0.066450 
1.3953 0.068558 
1.4153 0.071040 
1.4353 0.074163 
1.4553 0.076861 
1.4937 0.078252 
1.5138 0.080351 
1.5338 0.082398 
1.5538 0.084475 
1.5738 0.086891 
1.5939 0.089257 
1.6139 0.091581 
1.6339 0.093647 
1.6539 0.095445 
1.6740 0.097627 
1.7123 0.098494 
1.7323 0.100942 
1.7524 0.102426 
1.7724 0.104245 
1.7924 0.106724 
1.8124 0.108589 
1.8324 0.111455 
1.8525 0.114402 
1.8725 0.116389 
1.8925 0.119116 
1.9308 0.120750 
1.9509 0.122415 
1.9709 0.125170 
1.9909 0.127841 
2.0109 0.129977 
2.0309 0.132741 
2.0509 0.135294 
2.0709 0.136935 
2.0909 0.139343 
2.1109 0.142012 
2.1310 0.144185 
2.1693 0.146110 
2.1893 0.149174 
2.2093 0.150965 
2.2293 0.153161 
2.2493 0.155832 
2.2693 0.157469 
2.2893 0.160257 
2.3093 0.163265 
2.3293 0.165968 
2.3493 0.168577 
2.3877 0.169811 
2.4077 0.171330 
2.4277 0.172916 
2.4477 0.175789 
2.4677 0.178310 
2.4877 0.180854 
2.5077 0.183166 
2.5277 0.184586 
2.5477 0.186340 
2.5860 0.187631 
2.6060 0.190760 
2.6260 0.195339 
2.6460 0.200233 
2.6659 0.204965 
2.6859 0.207335 
2.7059 0.210201 
2.7259 0.212642 
2.7642 0.213666 
2.7842 0.216717 
2.8042 0.219007 
2.8242 0.221001 
2.8442 0.222426 
2.8642 0.224299 
2.8841 0.226312 
2.9041 0.228948 
2.9241 0.233115 
2.9624 0.235994 
