x  f 
mm   
0.0000 13021.900577 
0.0110 0.133732 
0.0329 0.030282 
0.0549 0.020198 
0.0659 0.014887 
0.0768 0.009926 
0.1000 0.007926 
0.1220 0.006208 
0.1439 0.008533 
0.1549 0.013341 
0.1659 0.017694 
0.1890 0.020684 
0.2110 0.019359 
0.2329 0.020783 
0.2549 0.024921 
0.2659 0.031914 
0.2768 0.040064 
0.3000 0.044394 
0.3110 0.048244 
0.3329 0.049187 
0.3439 0.051887 
0.3549 0.053514 
0.3658 0.056218 
0.3768 0.058411 
0.4000 0.059402 
0.4219 0.062171 
0.4439 0.064072 
0.4548 0.068859 
0.4658 0.075260 
0.4768 0.080530 
0.4999 0.082732 
0.5219 0.084039 
0.5438 0.085272 
0.5548 0.088797 
0.5657 0.093887 
0.5767 0.100608 
0.5999 0.103536 
0.6218 0.107825 
0.6328 0.114932 
0.6547 0.117573 
0.6657 0.124229 
0.6766 0.130432 
0.6876 0.136621 
0.7108 0.142816 
0.7327 0.146695 
0.7437 0.153281 
0.7656 0.156806 
0.7766 0.161388 
0.7875 0.166015 
0.8107 0.166683 
0.8326 0.167706 
0.8436 0.171084 
0.8545 0.174787 
0.8765 0.177733 
0.8874 0.183252 
0.8984 0.187940 
0.9215 0.189304 
0.9435 0.189685 
0.9654 0.189913 
0.9873 0.190388 
0.9983 0.193754 
1.0092 0.198512 
1.0324 0.202572 
1.0543 0.207731 
1.0762 0.213591 
1.0981 0.217719 
1.1091 0.222250 
1.1201 0.226860 
1.1432 0.227088 
1.1651 0.226926 
1.1761 0.229901 
1.1980 0.230739 
1.2089 0.235070 
1.2199 0.238915 
1.2309 0.242120 
1.2540 0.242770 
1.2759 0.243013 
1.2978 0.245340 
1.3088 0.250442 
1.3197 0.257241 
1.3307 0.262169 
1.3416 0.266265 
1.3648 0.266132 
1.3867 0.266690 
1.3976 0.269193 
1.4196 0.269073 
1.4305 0.270928 
1.4415 0.272814 
1.4524 0.276144 
1.4755 0.279187 
1.4974 0.283207 
1.5084 0.287340 
1.5303 0.289018 
1.5413 0.291056 
1.5522 0.292196 
1.5632 0.294935 
1.5741 0.297758 
1.5972 0.298738 
1.6191 0.300714 
1.6410 0.302205 
1.6520 0.304966 
1.6629 0.306969 
1.6739 0.307934 
1.6848 0.307065 
1.6958 0.305463 
1.7189 0.301425 
1.7408 0.299945 
1.7627 0.299527 
1.7846 0.300796 
1.7956 0.305081 
1.8065 0.307805 
