x  f 
mm   
0.0000 41662.926463 
0.0191 0.320648 
0.0293 0.267730 
0.0484 0.209331 
0.0675 0.194890 
0.0867 0.195960 
0.1058 0.200837 
0.1249 0.197220 
0.1440 0.190211 
0.1542 0.197942 
0.1733 0.195954 
0.1924 0.198924 
0.2116 0.204495 
0.2307 0.209420 
0.2498 0.209177 
0.2689 0.211409 
0.2881 0.213112 
0.2982 0.219047 
0.3173 0.221551 
0.3364 0.221549 
0.3556 0.219955 
0.3747 0.218585 
0.3938 0.217360 
0.4129 0.217048 
0.4231 0.220000 
0.4422 0.217366 
0.4613 0.214377 
0.4804 0.214675 
0.4995 0.216579 
0.5187 0.218757 
0.5378 0.221441 
0.5479 0.225320 
0.5670 0.225955 
0.5861 0.228491 
0.6052 0.231511 
0.6244 0.234241 
0.6435 0.236249 
0.6626 0.235898 
0.6817 0.235973 
0.6918 0.239541 
0.7109 0.239221 
0.7300 0.239573 
0.7492 0.241055 
0.7683 0.245152 
0.7874 0.251970 
0.8065 0.261808 
0.8256 0.266696 
0.8357 0.271958 
0.8548 0.274932 
0.8739 0.276786 
0.8930 0.278839 
0.9122 0.283078 
0.9313 0.285390 
0.9504 0.288536 
0.9695 0.291483 
0.9886 0.294302 
0.9987 0.300537 
1.0178 0.304597 
1.0369 0.307906 
1.0560 0.308422 
1.0751 0.309925 
1.0942 0.309701 
1.1133 0.311497 
1.1324 0.315511 
1.1515 0.317245 
1.1616 0.322437 
1.1807 0.323663 
1.1998 0.325340 
1.2189 0.328355 
1.2380 0.333534 
1.2571 0.338917 
1.2762 0.341718 
1.2953 0.343045 
1.3144 0.343810 
1.3245 0.345393 
1.3436 0.345348 
1.3627 0.345147 
1.3818 0.344802 
1.4009 0.345873 
1.4200 0.345270 
1.4391 0.346139 
1.4582 0.347071 
1.4773 0.347234 
1.4963 0.348871 
1.5154 0.347332 
1.5345 0.343337 
1.5446 0.339632 
1.5637 0.335419 
1.5828 0.332644 
1.6019 0.329864 
1.6210 0.329284 
1.6401 0.329400 
1.6592 0.328511 
1.6782 0.330507 
1.6973 0.329444 
1.7164 0.326912 
1.7265 0.326185 
1.7355 0.323345 
1.7456 0.321292 
1.7647 0.319564 
1.7838 0.319194 
1.8028 0.320282 
1.8219 0.320325 
1.8410 0.318180 
1.8601 0.314308 
1.8792 0.310948 
1.8982 0.307274 
1.9173 0.305351 
1.9274 0.305082 
1.9465 0.303541 
1.9656 0.302201 
1.9846 0.299178 
2.0037 0.297405 
2.0228 0.295644 
2.0419 0.293030 
2.0609 0.291029 
2.0800 0.289173 
2.0991 0.287366 
2.1182 0.285436 
2.1372 0.282810 
2.1563 0.280234 
2.1754 0.276807 
2.1944 0.273872 
2.2045 0.272477 
2.2236 0.268971 
2.2427 0.267947 
2.2618 0.268793 
2.2808 0.271365 
2.2999 0.276564 
2.3190 0.281296 
2.3380 0.283497 
2.3571 0.284634 
2.3761 0.285210 
2.3952 0.283735 
2.4143 0.280921 
2.4333 0.278465 
2.4524 0.276258 
2.4715 0.274371 
2.4816 0.275321 
2.5006 0.274632 
2.5197 0.272932 
2.5387 0.271193 
2.5578 0.267264 
2.5769 0.264367 
2.5959 0.262091 
2.6150 0.260643 
2.6340 0.259880 
2.6531 0.260340 
2.6721 0.260430 
2.6912 0.260648 
2.7103 0.260085 
2.7293 0.257230 
2.7484 0.255269 
2.7674 0.252543 
2.7865 0.250550 
2.8055 0.249274 
2.8246 0.247936 
2.8436 0.246708 
2.8627 0.245435 
2.8728 0.245002 
2.8918 0.244123 
2.9109 0.242835 
2.9299 0.241579 
2.9490 0.240258 
2.9680 0.238747 
2.9871 0.237285 
3.0061 0.234917 
3.0251 0.231678 
3.0442 0.227321 
3.0632 0.222122 
3.0823 0.217218 
3.1013 0.213936 
3.1204 0.210708 
3.1394 0.206594 
3.1585 0.203924 
3.1775 0.201489 
3.1965 0.199844 
3.2156 0.199034 
3.2346 0.198042 
3.2537 0.196089 
3.2727 0.194493 
3.2917 0.192771 
3.3108 0.191158 
3.3298 0.190311 
3.3488 0.189291 
3.3679 0.188355 
3.3869 0.186668 
3.4060 0.185104 
3.4250 0.182709 
3.4440 0.180137 
3.4631 0.177483 
3.4821 0.174653 
3.4922 0.173104 
3.5011 0.171780 
3.5202 0.171396 
3.5302 0.171577 
3.5493 0.171580 
3.5683 0.171566 
3.5772 0.170809 
3.5963 0.169778 
3.6064 0.168951 
3.6254 0.167576 
3.6444 0.167005 
3.6634 0.166194 
3.6825 0.165317 
3.7015 0.164480 
3.7205 0.163345 
3.7395 0.162241 
3.7586 0.161150 
3.7776 0.160445 
3.7966 0.159788 
3.8156 0.160032 
3.8347 0.160093 
3.8537 0.159239 
3.8727 0.158368 
3.8917 0.156848 
3.9007 0.155538 
3.9107 0.154249 
3.9298 0.152387 
3.9488 0.150815 
3.9678 0.149445 
3.9868 0.147729 
4.0058 0.146145 
4.0249 0.144614 
4.0439 0.143090 
4.0629 0.141908 
4.0819 0.140783 
4.1009 0.139616 
4.1199 0.138401 
4.1390 0.137135 
4.1580 0.135921 
4.1770 0.135200 
4.1960 0.135037 
4.2150 0.135789 
4.2340 0.136667 
4.2530 0.136044 
4.2720 0.134847 
4.2910 0.132938 
4.3101 0.130980 
4.3190 0.129793 
4.3380 0.128157 
4.3481 0.127037 
4.3671 0.125818 
4.3760 0.124908 
4.3950 0.124032 
4.4140 0.123210 
4.4330 0.122282 
4.4520 0.121451 
4.4710 0.120621 
4.4901 0.119699 
4.5091 0.118287 
4.5281 0.116264 
4.5471 0.113345 
4.5661 0.110684 
4.5851 0.108793 
4.6041 0.107566 
4.6231 0.106887 
4.6421 0.106273 
4.6611 0.105620 
4.6801 0.104988 
4.6991 0.104156 
4.7181 0.103330 
4.7371 0.102637 
4.7560 0.101972 
4.7750 0.101528 
4.7940 0.100976 
4.8130 0.100700 
4.8320 0.100347 
4.8510 0.100082 
4.8700 0.099808 
4.8890 0.099181 
4.9080 0.098493 
4.9270 0.097234 
4.9460 0.095667 
4.9549 0.093628 
4.9650 0.091538 
4.9739 0.090152 
4.9929 0.089018 
5.0119 0.088283 
5.0309 0.087784 
5.0499 0.087478 
5.0688 0.087290 
5.0878 0.087264 
5.1068 0.087077 
5.1258 0.086880 
5.1448 0.086589 
5.1638 0.086230 
5.1828 0.086001 
5.2017 0.085705 
5.2207 0.085315 
5.2397 0.085214 
5.2587 0.085407 
5.2777 0.085644 
5.2967 0.085908 
5.3156 0.085777 
5.3346 0.085366 
5.3435 0.084947 
5.3536 0.084269 
5.3625 0.083497 
5.3815 0.082587 
5.4005 0.081729 
5.4195 0.081087 
5.4384 0.080484 
5.4574 0.079843 
5.4764 0.079346 
5.4954 0.078687 
5.5143 0.078210 
5.5333 0.077864 
5.5523 0.077558 
5.5713 0.077777 
5.5902 0.077958 
5.6092 0.078047 
5.6282 0.078435 
5.6371 0.078699 
5.6561 0.079256 
5.6750 0.080116 
5.6940 0.080490 
5.7130 0.080862 
5.7319 0.080742 
5.7509 0.080491 
5.7699 0.080039 
5.7888 0.079549 
5.8078 0.079018 
5.8268 0.078352 
5.8457 0.077733 
5.8647 0.077078 
5.8837 0.076498 
5.8926 0.076024 
5.9115 0.075443 
5.9305 0.074897 
5.9495 0.074310 
5.9684 0.073506 
5.9874 0.072495 
6.0064 0.071527 
6.0253 0.070568 
6.0443 0.069951 
6.0632 0.069552 
6.0822 0.069134 
6.0911 0.069085 
6.1101 0.069029 
6.1290 0.069096 
6.1480 0.069190 
6.1669 0.069111 
6.1859 0.068945 
6.2048 0.068646 
6.2238 0.068193 
6.2428 0.067675 
6.2617 0.067039 
6.2807 0.066208 
6.2996 0.065343 
6.3085 0.064162 
6.3275 0.063061 
6.3464 0.062218 
6.3654 0.061244 
6.3843 0.060728 
6.4033 0.059740 
6.4222 0.058400 
6.4412 0.057385 
6.4501 0.056349 
6.4690 0.055624 
6.4791 0.055115 
6.4980 0.054561 
6.5069 0.053998 
6.5259 0.053349 
6.5448 0.052777 
6.5638 0.052320 
6.5827 0.052017 
6.6017 0.051725 
6.6206 0.051446 
6.6295 0.051368 
6.6484 0.051138 
6.6674 0.050861 
6.6863 0.050476 
6.7053 0.049822 
6.7242 0.049146 
6.7331 0.048604 
6.7431 0.048183 
6.7621 0.047913 
6.7710 0.047893 
6.7810 0.047869 
6.7899 0.047659 
6.8000 0.047171 
6.8089 0.046534 
6.8278 0.045709 
6.8467 0.045005 
6.8657 0.044371 
6.8846 0.043808 
6.9036 0.043288 
6.9225 0.042737 
6.9414 0.042106 
6.9604 0.041477 
6.9693 0.040825 
6.9882 0.039913 
7.0071 0.039169 
7.0261 0.038408 
7.0450 0.037688 
7.0639 0.037197 
7.0728 0.036796 
7.0828 0.036439 
7.1018 0.036316 
7.1107 0.036135 
7.1296 0.035832 
7.1485 0.035491 
7.1675 0.035113 
7.1864 0.034773 
7.2053 0.034365 
7.2142 0.033969 
7.2331 0.033336 
7.2432 0.032587 
7.2521 0.031838 
7.2710 0.030737 
7.2899 0.029829 
7.3088 0.029136 
7.3278 0.028630 
7.3367 0.028532 
7.3556 0.028328 
7.3656 0.028221 
7.3745 0.027979 
7.3934 0.027436 
7.4123 0.026822 
7.4313 0.026159 
7.4502 0.025763 
7.4691 0.025552 
7.4880 0.025500 
7.4969 0.025454 
7.5158 0.025069 
7.5259 0.024630 
7.5348 0.023988 
7.5537 0.023350 
7.5726 0.022912 
7.5815 0.022589 
7.6004 0.022374 
7.6104 0.022242 
7.6293 0.022050 
7.6382 0.021811 
7.6571 0.021589 
7.6761 0.021310 
7.6950 0.020967 
7.7039 0.020670 
7.7139 0.020206 
7.7228 0.019474 
7.7417 0.018704 
7.7606 0.017994 
7.7795 0.017428 
7.7884 0.017126 
7.7984 0.016939 
7.8173 0.016678 
7.8262 0.016326 
7.8451 0.015973 
7.8640 0.015713 
7.8740 0.015530 
7.8829 0.015560 
7.8929 0.015416 
7.9107 0.015040 
7.9207 0.014481 
7.9397 0.013724 
7.9485 0.013121 
7.9675 0.012544 
7.9864 0.012171 
7.9953 0.012093 
8.0142 0.012047 
8.0331 0.011930 
8.0431 0.011653 
8.0520 0.011370 
8.0620 0.011058 
8.0709 0.010899 
8.0898 0.010892 
8.1087 0.010840 
8.1276 0.010769 
8.1365 0.010646 
8.1587 0.010442 
8.1742 0.010261 
8.1931 0.010131 
8.2120 0.010029 
8.2243 0.010019 
8.2398 0.009979 
8.2587 0.009862 
8.2776 0.009658 
8.2965 0.009275 
8.3154 0.008721 
8.3276 0.008154 
8.3532 0.007676 
8.3743 0.007413 
8.3999 0.007355 
8.4188 0.007371 
8.4276 0.007263 
8.4465 0.006911 
8.4654 0.006452 
8.4877 0.006078 
8.5121 0.005810 
8.5343 0.005609 
8.5588 0.005415 
8.5688 0.005131 
8.5910 0.004945 
8.6054 0.004910 
8.6187 0.005040 
8.6376 0.005222 
8.6565 0.005195 
8.6754 0.004971 
8.6943 0.004633 
8.7187 0.004228 
8.7409 0.004010 
8.7598 0.003897 
8.7754 0.003820 
8.7876 0.003588 
8.8065 0.003215 
8.8253 0.002823 
8.8409 0.002382 
8.8631 0.002099 
8.8820 0.001987 
8.8909 0.001949 
8.9097 0.002015 
8.9197 0.002128 
8.9286 0.002106 
8.9530 0.001909 
8.9664 0.001504 
8.9808 0.001064 
8.9941 0.000665 
9.0130 0.000429 
9.0319 0.000432 
9.0507 0.000568 
9.0696 0.000781 
9.0785 0.000979 
9.0885 0.001079 
9.0974 0.000953 
9.1073 0.000687 
9.1218 0.000511 
9.1351 0.000542 
9.1540 0.000758 
