x  f 
mm   
0.0000 23393.220702 
0.0326 0.061193 
0.0652 0.028013 
0.0999 0.022269 
0.1325 0.023705 
0.1650 0.022614 
0.1976 0.020648 
0.2302 0.019810 
0.2649 0.016210 
0.2975 0.014583 
0.3300 0.014459 
0.3626 0.013546 
0.3951 0.014609 
0.4277 0.016440 
0.4624 0.017795 
0.4950 0.018793 
0.5275 0.018267 
0.5601 0.016843 
0.5926 0.015759 
0.6273 0.016317 
0.6599 0.017453 
0.6924 0.018446 
0.7250 0.018519 
0.7575 0.017599 
0.7901 0.017415 
0.8248 0.017730 
0.8573 0.018133 
0.8898 0.018581 
0.9224 0.018544 
0.9549 0.018601 
0.9874 0.019700 
1.0221 0.021442 
1.0546 0.022679 
1.0872 0.024225 
1.1197 0.025271 
1.1522 0.026205 
1.1847 0.027358 
1.2194 0.028206 
1.2519 0.029202 
1.2844 0.030232 
1.3169 0.031493 
1.3494 0.032908 
1.3820 0.033933 
1.4166 0.034941 
1.4491 0.036178 
1.4816 0.037362 
1.5141 0.039390 
1.5466 0.041483 
1.5791 0.043526 
1.6116 0.045238 
1.6463 0.046572 
1.6788 0.047991 
1.7113 0.049331 
1.7438 0.051001 
1.7763 0.052356 
1.8087 0.054131 
1.8434 0.055542 
1.8759 0.057129 
1.9084 0.058864 
1.9408 0.060284 
1.9733 0.061793 
2.0058 0.063406 
2.0383 0.065397 
2.0729 0.067388 
2.1054 0.069664 
2.1379 0.071630 
2.1703 0.073768 
2.2028 0.075814 
2.2353 0.077866 
2.2677 0.079834 
2.3023 0.081440 
2.3348 0.082483 
2.3673 0.082900 
2.3997 0.083955 
2.4322 0.084978 
2.4646 0.086539 
2.4992 0.088649 
2.5317 0.090795 
2.5641 0.093241 
2.5966 0.095836 
2.6290 0.098614 
2.6615 0.101416 
2.6939 0.104137 
2.7285 0.106688 
2.7610 0.109333 
2.7934 0.111948 
2.8258 0.114346 
2.8583 0.116545 
2.8907 0.118576 
2.9231 0.120503 
2.9556 0.122588 
2.9880 0.124932 
3.0226 0.127048 
3.0550 0.129309 
3.0874 0.131368 
3.1198 0.133755 
3.1523 0.136246 
3.1847 0.139127 
3.2171 0.142146 
3.2517 0.144959 
3.2841 0.147926 
3.3165 0.150658 
3.3489 0.153585 
3.3813 0.156265 
3.4137 0.159074 
3.4461 0.161573 
3.4785 0.163956 
3.5109 0.166456 
3.5455 0.168773 
3.5779 0.171474 
3.6103 0.174138 
3.6427 0.177030 
3.6751 0.180184 
3.7075 0.183546 
3.7399 0.187067 
3.7722 0.190332 
3.8046 0.193779 
3.8392 0.196933 
3.8716 0.199925 
3.9039 0.202962 
3.9363 0.205765 
3.9687 0.208227 
4.0011 0.210941 
4.0335 0.213813 
4.0658 0.216547 
4.0982 0.219317 
4.1327 0.222044 
4.1651 0.224809 
4.1975 0.227602 
4.2298 0.230793 
4.2622 0.233656 
4.2946 0.236575 
4.3269 0.239444 
4.3593 0.242146 
4.3916 0.245050 
4.4240 0.247917 
4.4563 0.250677 
4.4908 0.253302 
4.5232 0.255943 
4.5555 0.258535 
4.5879 0.261286 
4.6202 0.264040 
4.6526 0.266674 
4.6849 0.269293 
4.7173 0.272021 
4.7496 0.274445 
4.7819 0.277138 
4.8143 0.279737 
4.8466 0.282124 
4.8811 0.284615 
4.9134 0.286909 
4.9458 0.289314 
4.9781 0.291732 
5.0104 0.294055 
5.0427 0.296581 
5.0751 0.298688 
5.1074 0.300810 
5.1397 0.302674 
5.1720 0.304374 
5.2043 0.306446 
5.2367 0.308285 
5.2690 0.310213 
5.3034 0.312091 
5.3357 0.313928 
5.3681 0.315751 
5.4004 0.317620 
5.4327 0.319506 
5.4650 0.320950 
5.4973 0.322501 
5.5296 0.323949 
5.5619 0.325230 
5.5942 0.326957 
5.6265 0.328583 
5.6588 0.330332 
5.6911 0.332129 
5.7233 0.333775 
5.7578 0.335263 
5.7901 0.336710 
5.8224 0.337916 
5.8546 0.339071 
5.8869 0.340292 
5.9192 0.341196 
5.9515 0.342303 
5.9838 0.343373 
6.0160 0.344138 
6.0483 0.345000 
6.0806 0.345782 
6.1129 0.346536 
6.1451 0.347436 
6.1774 0.348403 
6.2097 0.349245 
6.2419 0.350123 
6.2763 0.350589 
6.3086 0.351003 
6.3409 0.351452 
6.3731 0.351747 
6.4054 0.352233 
6.4376 0.352737 
6.4699 0.353124 
6.5021 0.353477 
6.5344 0.353617 
6.5666 0.353818 
6.5989 0.353871 
6.6311 0.353780 
6.6634 0.353780 
6.6956 0.353377 
6.7279 0.353242 
6.7601 0.353076 
6.7923 0.352746 
6.8246 0.352589 
6.8568 0.352130 
6.8890 0.351572 
6.9213 0.350983 
6.9535 0.350319 
6.9857 0.349442 
7.0179 0.348328 
7.0502 0.347238 
7.0824 0.346059 
7.1168 0.344894 
7.1490 0.344110 
7.1812 0.343135 
7.2134 0.342050 
7.2456 0.341101 
7.2778 0.339932 
7.3101 0.338826 
7.3423 0.337878 
7.3745 0.336767 
7.4067 0.335730 
7.4389 0.334598 
7.4711 0.333402 
7.5033 0.332038 
7.5355 0.330640 
7.5677 0.329234 
7.5999 0.327884 
7.6321 0.326593 
7.6643 0.325266 
7.6965 0.323840 
7.7287 0.322240 
7.7608 0.320556 
7.7930 0.318843 
7.8252 0.317031 
7.8574 0.315217 
7.8896 0.313351 
7.9218 0.311469 
7.9539 0.309675 
7.9861 0.307718 
8.0183 0.305917 
8.0505 0.303894 
8.0848 0.301788 
8.1170 0.300023 
8.1491 0.298049 
8.1813 0.296294 
8.2135 0.294516 
8.2456 0.292570 
8.2778 0.290775 
8.3100 0.288985 
8.3421 0.287386 
8.3743 0.285807 
8.4064 0.284248 
8.4386 0.282636 
8.4707 0.280761 
8.5029 0.278961 
8.5350 0.277110 
8.5672 0.275256 
8.5993 0.273393 
8.6315 0.271469 
8.6636 0.269403 
8.6958 0.267295 
8.7279 0.265225 
8.7601 0.263166 
8.7922 0.261183 
8.8243 0.259186 
8.8565 0.257217 
8.8886 0.255175 
8.9207 0.253110 
8.9529 0.251074 
8.9850 0.249055 
9.0171 0.247079 
9.0492 0.245222 
9.0814 0.243407 
9.1135 0.241609 
9.1456 0.239932 
9.1777 0.238238 
9.2098 0.236534 
9.2420 0.234811 
9.2741 0.233083 
9.3062 0.231347 
9.3383 0.229663 
9.3704 0.227993 
9.4025 0.226199 
9.4346 0.224372 
9.4667 0.222594 
9.4988 0.220837 
9.5309 0.219207 
9.5630 0.217664 
9.5951 0.216011 
9.6272 0.214238 
9.6593 0.212384 
9.6893 0.210477 
9.7235 0.208449 
9.7556 0.206506 
9.7877 0.204586 
9.8176 0.202680 
9.8497 0.200760 
9.8818 0.198895 
9.9139 0.197052 
9.9481 0.195369 
9.9802 0.193857 
10.0101 0.192391 
10.0443 0.190873 
10.0743 0.189271 
10.1063 0.187556 
10.1384 0.185894 
10.1705 0.184187 
10.2025 0.182570 
10.2346 0.180979 
10.2667 0.179348 
10.2987 0.177695 
10.3308 0.176081 
10.3629 0.174451 
10.3949 0.172805 
10.4270 0.171199 
10.4590 0.169485 
10.4911 0.167729 
10.5231 0.166070 
10.5552 0.164441 
10.5872 0.162830 
10.6193 0.161242 
10.6513 0.159602 
10.6834 0.157978 
10.7154 0.156443 
10.7475 0.154977 
10.7774 0.153548 
10.8115 0.152049 
10.8414 0.150552 
10.8735 0.148989 
10.9055 0.147464 
10.9375 0.146045 
10.9696 0.144703 
11.0016 0.143416 
11.0336 0.142186 
11.0656 0.141014 
11.0977 0.139916 
11.1297 0.138900 
11.1617 0.137952 
11.1937 0.136969 
11.2236 0.136020 
11.2578 0.134882 
11.2898 0.133688 
11.3218 0.132455 
11.3517 0.131235 
11.3837 0.130166 
11.4157 0.129097 
11.4477 0.128074 
11.4797 0.127060 
11.5117 0.125942 
11.5437 0.124865 
11.5757 0.123779 
11.6056 0.122666 
11.6397 0.121540 
11.6717 0.120438 
11.7037 0.119425 
11.7335 0.118486 
11.7655 0.117544 
11.7997 0.116593 
11.8316 0.115517 
11.8615 0.114498 
11.8935 0.113520 
11.9255 0.112574 
11.9596 0.111723 
11.9894 0.110898 
12.0193 0.110038 
12.0534 0.109086 
