x  f 
mm   
0.0000 44222.745033 
0.0144 0.580689 
0.0366 0.321580 
0.0510 0.295505 
0.0655 0.275686 
0.0799 0.259085 
0.0876 0.265977 
0.1020 0.249647 
0.1165 0.234451 
0.1386 0.210281 
0.1530 0.206556 
0.1675 0.204805 
0.1896 0.197937 
0.2040 0.200424 
0.2185 0.204994 
0.2329 0.208861 
0.2550 0.208799 
0.2695 0.215048 
0.2839 0.222568 
0.3060 0.224090 
0.3205 0.230506 
0.3349 0.236826 
0.3493 0.240473 
0.3714 0.237365 
0.3859 0.239224 
0.4080 0.237414 
0.4224 0.241095 
0.4369 0.246376 
0.4513 0.251127 
0.4734 0.249749 
0.4878 0.252176 
0.5023 0.253838 
0.5167 0.254326 
0.5388 0.251063 
0.5532 0.250697 
0.5677 0.251042 
0.5821 0.251898 
0.6042 0.250092 
0.6186 0.253117 
0.6408 0.251152 
0.6552 0.252681 
0.6696 0.253720 
0.6840 0.253235 
0.7061 0.252473 
0.7206 0.254358 
0.7350 0.257560 
0.7494 0.261667 
0.7715 0.262604 
0.7859 0.266847 
0.8004 0.270220 
0.8225 0.271567 
0.8369 0.274603 
0.8513 0.276517 
0.8657 0.278322 
0.8878 0.276703 
0.9023 0.277143 
0.9167 0.277827 
0.9388 0.276350 
0.9532 0.277617 
0.9676 0.279651 
0.9820 0.281775 
0.9965 0.283616 
1.0186 0.282366 
1.0330 0.283388 
1.0474 0.284884 
1.0695 0.284597 
1.0839 0.286495 
1.0983 0.288149 
1.1204 0.287082 
1.1348 0.288194 
1.1493 0.289548 
1.1637 0.290454 
1.1781 0.291424 
1.2002 0.290565 
1.2146 0.292301 
1.2290 0.293343 
1.2511 0.291901 
1.2655 0.291952 
1.2799 0.290870 
1.2943 0.289854 
1.3087 0.289747 
1.3308 0.286812 
1.3452 0.285839 
1.3597 0.285341 
1.3817 0.282908 
1.3962 0.283058 
1.4106 0.283404 
1.4250 0.282961 
1.4394 0.282133 
1.4471 0.282259 
1.4615 0.281747 
1.4759 0.281462 
1.4903 0.281316 
1.5124 0.280310 
1.5268 0.280482 
1.5412 0.280875 
1.5556 0.280932 
1.5700 0.280453 
1.5921 0.278142 
1.6065 0.276984 
1.6209 0.275658 
1.6353 0.274235 
1.6574 0.271747 
1.6718 0.270977 
1.6862 0.270616 
1.7006 0.271527 
1.7226 0.270287 
1.7370 0.270601 
1.7514 0.270560 
1.7658 0.269684 
1.7879 0.268218 
1.8023 0.267222 
1.8167 0.266450 
1.8311 0.265407 
1.8455 0.264247 
1.8676 0.261444 
1.8820 0.260489 
1.8964 0.259983 
1.9185 0.258891 
1.9329 0.259700 
1.9473 0.259750 
1.9616 0.259425 
1.9760 0.259180 
1.9981 0.258035 
2.0125 0.258146 
2.0269 0.258003 
2.0413 0.257150 
2.0634 0.254628 
2.0778 0.252687 
2.0922 0.250864 
2.1065 0.249379 
2.1286 0.246808 
2.1430 0.245188 
2.1574 0.243516 
2.1718 0.241623 
2.1862 0.239788 
2.2006 0.238242 
2.2082 0.237570 
2.2226 0.236273 
2.2370 0.235259 
2.2514 0.234307 
2.2658 0.233173 
2.2879 0.231502 
2.3022 0.229982 
2.3166 0.227876 
2.3310 0.226119 
2.3531 0.222525 
2.3675 0.220695 
2.3819 0.218797 
2.3962 0.216278 
2.4106 0.214437 
2.4327 0.211465 
2.4471 0.209987 
2.4615 0.208866 
2.4758 0.208052 
2.4979 0.206580 
2.5123 0.205958 
2.5267 0.205071 
2.5410 0.203945 
2.5554 0.202505 
2.5698 0.200805 
2.5919 0.198340 
2.6062 0.196628 
2.6206 0.195496 
2.6350 0.194276 
2.6494 0.193310 
2.6714 0.191933 
2.6858 0.190814 
2.7002 0.189740 
2.7146 0.189085 
2.7289 0.188361 
2.7433 0.187679 
2.7654 0.186661 
2.7797 0.185321 
2.7941 0.183967 
2.8085 0.182520 
2.8305 0.180352 
2.8449 0.179018 
2.8593 0.177607 
2.8737 0.176248 
2.8880 0.174883 
2.9024 0.173649 
2.9245 0.172270 
2.9388 0.171203 
2.9532 0.170754 
2.9676 0.170233 
2.9896 0.168660 
3.0040 0.167646 
3.0184 0.166224 
3.0327 0.164929 
3.0471 0.164438 
3.0615 0.164000 
3.0759 0.163458 
3.0979 0.162207 
3.1123 0.161074 
3.1266 0.159808 
3.1410 0.158529 
3.1554 0.157862 
3.1774 0.156381 
3.1918 0.155307 
3.2061 0.154307 
3.2205 0.152993 
3.2349 0.152387 
3.2492 0.151587 
3.2713 0.150214 
3.2856 0.149108 
3.3000 0.147711 
3.3144 0.146127 
3.3287 0.145144 
3.3431 0.144233 
3.3651 0.142883 
3.3795 0.142257 
3.3939 0.141185 
3.4082 0.139990 
3.4226 0.139378 
3.4369 0.139030 
3.4590 0.138534 
3.4733 0.138343 
3.4877 0.137189 
3.5021 0.135753 
3.5164 0.134093 
3.5308 0.132578 
3.5384 0.131578 
3.5528 0.130453 
3.5672 0.129416 
3.5815 0.128204 
3.5959 0.127015 
3.6102 0.126056 
3.6322 0.124994 
3.6466 0.124139 
3.6610 0.123409 
3.6753 0.122478 
3.6897 0.121445 
3.7040 0.120550 
3.7184 0.119691 
3.7404 0.118506 
3.7548 0.117199 
3.7691 0.115955 
3.7835 0.114243 
3.7978 0.113042 
3.8122 0.112273 
3.8265 0.111539 
3.8486 0.110926 
3.8629 0.110302 
3.8773 0.109487 
3.8916 0.108683 
3.9060 0.107901 
3.9203 0.107003 
3.9347 0.106679 
3.9567 0.106001 
3.9710 0.105491 
3.9854 0.105217 
3.9997 0.104490 
4.0141 0.103490 
4.0284 0.102417 
4.0504 0.100907 
4.0648 0.099559 
4.0791 0.098458 
4.0935 0.097554 
4.1078 0.097154 
4.1222 0.096919 
4.1365 0.096728 
4.1585 0.096174 
4.1729 0.095520 
4.1872 0.094550 
4.2016 0.093677 
4.2159 0.092836 
4.2303 0.091959 
4.2446 0.091277 
4.2589 0.090589 
4.2733 0.090171 
4.2953 0.089544 
4.3096 0.088904 
4.3240 0.088116 
4.3383 0.087100 
4.3527 0.086137 
4.3670 0.085122 
4.3890 0.084407 
4.4033 0.083996 
4.4177 0.083720 
4.4320 0.083738 
4.4464 0.083496 
4.4607 0.083137 
4.4750 0.082313 
4.4894 0.081455 
4.5114 0.080586 
4.5257 0.079698 
4.5400 0.079218 
4.5544 0.078824 
4.5687 0.077988 
4.5831 0.077178 
4.5974 0.076164 
4.6117 0.074981 
4.6261 0.074132 
4.6481 0.073580 
4.6624 0.073284 
4.6767 0.072808 
4.6911 0.072241 
4.7054 0.071540 
4.7197 0.070901 
4.7341 0.070469 
4.7484 0.070098 
4.7704 0.069627 
4.7847 0.069074 
4.7990 0.068665 
4.8134 0.068369 
4.8277 0.067949 
4.8420 0.067517 
4.8564 0.067199 
4.8707 0.066595 
4.8850 0.065867 
4.8994 0.065314 
4.9213 0.064449 
4.9357 0.063891 
4.9500 0.063661 
4.9643 0.063357 
4.9787 0.063114 
4.9930 0.062938 
5.0073 0.062553 
5.0216 0.062176 
5.0436 0.061695 
5.0579 0.061191 
5.0723 0.060493 
5.0866 0.059830 
5.1009 0.059429 
5.1153 0.059000 
5.1296 0.058802 
