x  f 
mm   
0.0000 12018.736768 
0.0245 0.077247 
0.0508 0.044441 
0.0753 0.036450 
0.0998 0.033731 
0.1243 0.028285 
0.1506 0.025260 
0.1751 0.023732 
0.1996 0.021634 
0.2259 0.020879 
0.2504 0.022359 
0.2749 0.024169 
0.2993 0.026395 
0.3257 0.027061 
0.3502 0.026402 
0.3746 0.024265 
0.4010 0.022718 
0.4254 0.022620 
0.4499 0.022945 
0.4744 0.025167 
0.5007 0.027583 
0.5252 0.028975 
0.5496 0.029501 
0.5760 0.028678 
0.6004 0.027666 
0.6249 0.028588 
0.6493 0.030765 
0.6757 0.033370 
0.7001 0.035767 
0.7246 0.037238 
0.7509 0.038695 
0.7754 0.040246 
0.7998 0.042259 
0.8242 0.043977 
0.8506 0.044688 
0.8750 0.045665 
0.8995 0.046443 
0.9239 0.047568 
0.9502 0.048900 
0.9747 0.050798 
0.9991 0.052697 
1.0254 0.054508 
1.0499 0.056369 
1.0743 0.057121 
1.0988 0.057974 
1.1251 0.058937 
1.1495 0.060119 
1.1740 0.061710 
1.2003 0.063525 
1.2247 0.065830 
1.2491 0.068418 
1.2736 0.070576 
1.2999 0.072261 
1.3243 0.073400 
1.3487 0.074548 
1.3732 0.075874 
1.3995 0.077541 
1.4239 0.079865 
1.4483 0.082136 
1.4728 0.084539 
1.4991 0.086445 
1.5235 0.088061 
1.5479 0.089660 
1.5742 0.091433 
1.5986 0.093260 
1.6230 0.095415 
1.6475 0.097063 
1.6738 0.098335 
1.6982 0.099863 
1.7226 0.101449 
1.7470 0.103640 
1.7733 0.105941 
1.7977 0.108575 
1.8221 0.110882 
1.8465 0.112836 
1.8728 0.114296 
1.8972 0.115685 
1.9216 0.117261 
1.9460 0.119011 
1.9723 0.121212 
1.9967 0.123483 
2.0211 0.125533 
2.0474 0.127488 
2.0718 0.129387 
2.0962 0.131806 
2.1206 0.134630 
2.1469 0.137073 
2.1713 0.139874 
2.1957 0.142432 
2.2201 0.144801 
2.2464 0.147315 
2.2707 0.149858 
2.2951 0.152486 
2.3195 0.155274 
2.3439 0.158345 
2.3702 0.161251 
2.3946 0.164447 
2.4190 0.167451 
2.4452 0.170020 
2.4696 0.172699 
2.4940 0.175152 
2.5184 0.177689 
2.5447 0.180181 
2.5690 0.182981 
2.5934 0.185742 
2.6178 0.188645 
2.6441 0.191674 
2.6684 0.195003 
2.6928 0.198463 
2.7172 0.202006 
2.7435 0.205006 
2.7678 0.207879 
2.7922 0.210614 
2.8166 0.213266 
2.8410 0.216212 
2.8672 0.219525 
2.8916 0.223578 
2.9159 0.227690 
2.9403 0.231773 
2.9666 0.235445 
2.9909 0.238676 
3.0153 0.241747 
3.0397 0.244852 
3.0659 0.247724 
3.0903 0.250690 
3.1146 0.253728 
3.1390 0.256469 
3.1652 0.259128 
3.1896 0.262040 
3.2139 0.265017 
3.2383 0.268138 
3.2645 0.271015 
3.2889 0.273936 
3.3132 0.276636 
3.3376 0.279629 
3.3620 0.282464 
3.3882 0.285182 
3.4125 0.288012 
3.4369 0.290562 
3.4612 0.293388 
3.4856 0.296391 
3.5118 0.299414 
3.5361 0.302459 
3.5605 0.305358 
3.5848 0.308154 
3.6111 0.310830 
3.6354 0.313966 
3.6597 0.317030 
3.6841 0.319995 
3.7103 0.322733 
3.7346 0.325379 
3.7590 0.327967 
3.7833 0.330660 
3.8095 0.333153 
3.8339 0.335766 
3.8582 0.338466 
3.8825 0.340984 
3.9069 0.343387 
3.9331 0.345599 
3.9574 0.347984 
3.9817 0.350300 
4.0061 0.352626 
4.0304 0.354960 
4.0566 0.357021 
4.0809 0.359021 
4.1052 0.361212 
4.1296 0.363284 
4.1558 0.365390 
4.1801 0.368101 
4.2044 0.370562 
4.2287 0.372862 
4.2531 0.374852 
4.2792 0.376052 
4.3036 0.377423 
4.3279 0.379048 
4.3522 0.380456 
4.3765 0.382290 
4.4027 0.384077 
4.4270 0.386029 
4.4513 0.388156 
4.4756 0.389975 
4.5000 0.391429 
4.5261 0.392576 
4.5504 0.394017 
4.5748 0.395457 
4.5991 0.396965 
4.6252 0.398244 
4.6495 0.399525 
4.6738 0.400767 
4.6982 0.401862 
4.7225 0.402860 
4.7486 0.403678 
4.7729 0.404968 
4.7972 0.406367 
4.8215 0.407748 
4.8458 0.408862 
4.8720 0.409427 
4.8963 0.409920 
4.9206 0.410285 
4.9449 0.410834 
4.9692 0.411486 
4.9953 0.412249 
5.0196 0.413368 
5.0439 0.414418 
5.0682 0.415169 
5.0925 0.415923 
5.1187 0.416265 
5.1429 0.416782 
5.1672 0.417410 
5.1915 0.417774 
5.2158 0.418215 
5.2420 0.418465 
5.2662 0.418822 
5.2905 0.419474 
5.3148 0.419828 
5.3391 0.420091 
5.3634 0.420424 
5.3895 0.420230 
5.4138 0.420230 
5.4381 0.419994 
5.4623 0.419555 
5.4866 0.419137 
5.5127 0.418715 
5.5370 0.418435 
5.5613 0.418248 
5.5856 0.418130 
5.6098 0.417757 
5.6360 0.417093 
5.6602 0.416381 
5.6845 0.415427 
5.7088 0.414686 
5.7330 0.413914 
5.7592 0.412963 
5.7834 0.412065 
5.8077 0.410798 
5.8320 0.409691 
5.8562 0.408847 
5.8805 0.408189 
5.9066 0.407647 
5.9309 0.407047 
5.9551 0.406017 
5.9794 0.404597 
6.0036 0.402929 
6.0298 0.401209 
6.0540 0.399864 
6.0783 0.398969 
6.1025 0.398097 
6.1268 0.396894 
6.1510 0.395414 
6.1771 0.393473 
6.2014 0.391584 
6.2256 0.389872 
6.2499 0.388357 
6.2741 0.386899 
6.3002 0.385300 
6.3245 0.383874 
6.3487 0.382279 
6.3730 0.380554 
6.3972 0.378908 
6.4214 0.377268 
6.4475 0.375441 
6.4718 0.373763 
6.4960 0.371916 
6.5202 0.370025 
6.5445 0.368323 
6.5687 0.366552 
6.5948 0.364701 
6.6190 0.362943 
6.6433 0.361125 
6.6675 0.359300 
6.6917 0.357545 
6.7160 0.355802 
6.7421 0.353986 
6.7663 0.352217 
6.7905 0.350435 
6.8147 0.348709 
6.8390 0.346893 
6.8632 0.345052 
6.8893 0.342771 
6.9135 0.340212 
6.9377 0.337799 
6.9619 0.335573 
6.9862 0.333766 
7.0104 0.332200 
7.0365 0.330059 
7.0607 0.327603 
7.0849 0.324930 
7.1091 0.322238 
7.1333 0.320095 
7.1594 0.318264 
7.1836 0.316656 
7.2078 0.314781 
7.2320 0.312613 
7.2562 0.310207 
7.2804 0.307738 
7.3065 0.305465 
7.3307 0.303364 
7.3549 0.301338 
7.3791 0.299219 
7.4033 0.297006 
7.4275 0.294654 
7.4517 0.292426 
7.4778 0.290196 
7.5020 0.288068 
7.5262 0.285873 
7.5504 0.283563 
7.5746 0.281288 
7.5988 0.279148 
7.6248 0.276977 
7.6490 0.274800 
7.6732 0.272549 
7.6974 0.270044 
7.7216 0.267585 
7.7458 0.265369 
7.7700 0.263141 
7.7960 0.260956 
7.8202 0.258816 
7.8444 0.256214 
7.8686 0.253672 
7.8928 0.251303 
7.9170 0.249148 
7.9430 0.247204 
7.9672 0.245283 
7.9914 0.243178 
8.0156 0.240809 
8.0397 0.238518 
8.0639 0.236442 
8.0881 0.234557 
8.1141 0.232890 
8.1383 0.231333 
8.1625 0.229435 
8.1867 0.227229 
8.2108 0.225100 
8.2350 0.222875 
8.2592 0.220931 
8.2852 0.219132 
8.3094 0.217071 
8.3335 0.215022 
8.3577 0.212804 
8.3819 0.210625 
8.4060 0.208573 
8.4321 0.206437 
8.4562 0.204485 
8.4804 0.202559 
8.5046 0.200750 
8.5287 0.199060 
8.5529 0.197197 
8.5770 0.195169 
8.6012 0.192992 
8.6272 0.190896 
8.6514 0.189167 
8.6755 0.187625 
8.6997 0.186255 
8.7238 0.184555 
8.7480 0.182577 
8.7722 0.180777 
8.7963 0.178925 
8.8223 0.177177 
8.8465 0.175764 
8.8706 0.174020 
8.8948 0.172314 
8.9189 0.170767 
8.9431 0.169050 
8.9672 0.167466 
8.9932 0.165791 
9.0173 0.164137 
9.0415 0.162640 
9.0656 0.161111 
9.0898 0.159535 
9.1139 0.157825 
9.1380 0.155915 
9.1622 0.154147 
9.1882 0.152466 
9.2123 0.150952 
9.2365 0.149693 
9.2606 0.148403 
9.2847 0.147038 
9.3089 0.145631 
9.3330 0.144067 
9.3571 0.142572 
9.3831 0.141281 
9.4072 0.139931 
9.4314 0.138635 
9.4555 0.137212 
9.4796 0.135619 
9.5037 0.134243 
9.5279 0.132974 
9.5520 0.131758 
9.5780 0.130530 
9.6021 0.129235 
9.6262 0.127825 
9.6503 0.126333 
9.6745 0.124885 
9.6986 0.123482 
9.7227 0.122292 
9.7468 0.121263 
9.7728 0.120068 
9.7969 0.118774 
9.8210 0.117459 
9.8451 0.116258 
9.8692 0.115341 
9.8933 0.114475 
9.9174 0.113290 
9.9416 0.112049 
9.9657 0.110798 
9.9916 0.109533 
