x  f 
mm   
0.0000 30496.120322 
0.0084 0.645522 
0.0168 0.445474 
0.0346 0.284984 
0.0514 0.236538 
0.0682 0.205131 
0.0765 0.202824 
0.0849 0.201535 
0.0933 0.203117 
0.1101 0.194194 
0.1185 0.204492 
0.1363 0.201290 
0.1531 0.197389 
0.1699 0.190378 
0.1782 0.196556 
0.1866 0.201854 
0.1950 0.206002 
0.2034 0.214519 
0.2118 0.220135 
0.2202 0.221384 
0.2286 0.229672 
0.2369 0.231269 
0.2548 0.221804 
0.2715 0.216921 
0.2883 0.211577 
0.2967 0.216775 
0.3051 0.227557 
0.3218 0.230787 
0.3302 0.239907 
0.3386 0.251235 
0.3470 0.257390 
0.3648 0.262536 
0.3816 0.265883 
0.3900 0.275664 
0.4067 0.279941 
0.4151 0.288948 
0.4235 0.297764 
0.4319 0.305014 
0.4487 0.305843 
0.4570 0.312628 
0.4749 0.313109 
0.4916 0.316234 
0.5084 0.321841 
0.5168 0.328661 
0.5251 0.335161 
0.5335 0.337792 
0.5419 0.337821 
0.5503 0.339241 
0.5587 0.340193 
0.5671 0.340875 
0.5754 0.343186 
0.5932 0.340312 
0.6100 0.338702 
0.6184 0.342992 
0.6352 0.343623 
0.6435 0.348597 
0.6519 0.353965 
0.6603 0.362359 
0.6771 0.364892 
0.6854 0.372000 
0.6938 0.378923 
0.7116 0.378251 
0.7284 0.381372 
0.7451 0.382133 
0.7535 0.389412 
0.7619 0.393923 
0.7703 0.397572 
0.7787 0.401933 
0.7870 0.403073 
0.7954 0.406985 
0.8038 0.409021 
0.8122 0.410500 
0.8300 0.408542 
0.8467 0.405053 
0.8551 0.405635 
0.8719 0.401614 
0.8802 0.400460 
0.8886 0.400024 
0.8970 0.398096 
0.9054 0.395107 
0.9138 0.391956 
0.9221 0.388715 
0.9305 0.384508 
0.9399 0.380715 
0.9567 0.375086 
0.9734 0.370336 
0.9902 0.368226 
0.9986 0.369649 
1.0069 0.372237 
1.0153 0.375433 
1.0237 0.379051 
1.0321 0.384375 
