x  f 
mm   
0.0000 8712.409755 
0.0274 0.048506 
0.0548 0.033383 
0.0822 0.023109 
0.1077 0.017700 
0.1351 0.016027 
0.1625 0.019025 
0.1899 0.023012 
0.2154 0.027189 
0.2428 0.028761 
0.2702 0.027329 
0.2976 0.024568 
0.3250 0.020940 
0.3504 0.018685 
0.3778 0.017016 
0.4052 0.016571 
0.4326 0.017328 
0.4580 0.018315 
0.4854 0.018923 
0.5128 0.019004 
0.5402 0.020271 
0.5676 0.021336 
0.5930 0.022745 
0.6204 0.024056 
0.6478 0.023991 
0.6752 0.023936 
0.7006 0.023781 
0.7280 0.023793 
0.7554 0.024462 
0.7828 0.024893 
0.8101 0.026725 
0.8356 0.028528 
0.8629 0.029890 
0.8903 0.031420 
0.9177 0.031488 
0.9431 0.031690 
0.9705 0.031194 
0.9979 0.030902 
1.0252 0.031087 
1.0506 0.031416 
1.0780 0.031699 
1.1054 0.032259 
1.1327 0.033459 
1.1601 0.035199 
1.1855 0.038120 
1.2129 0.041244 
1.2402 0.043723 
1.2676 0.046194 
1.2930 0.048389 
1.3204 0.050136 
1.3477 0.052102 
1.3751 0.053606 
1.4005 0.054802 
1.4278 0.056251 
1.4552 0.057489 
1.4825 0.058811 
1.5079 0.060505 
1.5353 0.061798 
1.5626 0.063232 
1.5900 0.064696 
1.6154 0.066460 
1.6427 0.068687 
1.6701 0.070273 
1.6974 0.072196 
1.7228 0.073858 
1.7501 0.075666 
1.7775 0.078170 
1.8048 0.080732 
1.8302 0.083693 
1.8575 0.086241 
1.8849 0.088841 
1.9122 0.090311 
1.9376 0.091422 
1.9649 0.092447 
1.9922 0.093413 
2.0196 0.095286 
2.0449 0.098114 
2.0723 0.100909 
2.0996 0.103876 
2.1269 0.106842 
2.1523 0.109872 
2.1796 0.113006 
2.2069 0.116059 
2.2343 0.118785 
2.2596 0.121317 
2.2869 0.123222 
2.3143 0.125025 
2.3396 0.127332 
2.3669 0.129684 
2.3942 0.131947 
2.4216 0.134517 
2.4469 0.137481 
2.4742 0.140353 
2.5015 0.143570 
2.5288 0.146407 
2.5542 0.149259 
2.5815 0.151949 
2.6088 0.154759 
2.6361 0.157944 
2.6615 0.161213 
2.6888 0.164582 
2.7161 0.167754 
