x  f 
mm   
0.0000 31509.617429 
0.0235 0.141873 
0.0347 0.085099 
0.0582 0.044336 
0.0805 0.027473 
0.0917 0.024419 
0.1152 0.019543 
0.1264 0.020846 
0.1375 0.021534 
0.1611 0.021339 
0.1834 0.022038 
0.2069 0.023334 
0.2181 0.029407 
0.2292 0.035593 
0.2404 0.045213 
0.2639 0.049802 
0.2750 0.054670 
0.2862 0.057097 
0.3097 0.056351 
0.3320 0.058307 
0.3432 0.061958 
0.3667 0.063768 
0.3890 0.067608 
0.4125 0.070764 
0.4237 0.076396 
0.4348 0.082170 
0.4583 0.084963 
0.4695 0.089897 
0.4918 0.094097 
0.5153 0.101208 
0.5264 0.107954 
0.5376 0.116788 
0.5487 0.123543 
0.5723 0.124543 
0.5834 0.128432 
0.5945 0.131281 
0.6181 0.131433 
0.6403 0.134161 
0.6639 0.136068 
0.6862 0.137753 
0.6973 0.142192 
0.7208 0.143397 
0.7320 0.147385 
0.7431 0.151192 
0.7666 0.151981 
0.7777 0.155429 
0.7889 0.159430 
0.8000 0.164206 
0.8235 0.167797 
0.8347 0.175069 
0.8458 0.181816 
0.8693 0.185288 
0.8916 0.188136 
0.9027 0.191708 
0.9263 0.192597 
0.9374 0.197226 
0.9485 0.203127 
0.9720 0.205990 
0.9832 0.211961 
0.9943 0.216327 
1.0055 0.219575 
1.0290 0.219578 
1.0512 0.220805 
1.0747 0.221522 
1.0859 0.224062 
1.1081 0.226033 
1.1316 0.227164 
1.1428 0.230999 
1.1539 0.234775 
1.1774 0.234484 
1.1885 0.234661 
1.2108 0.233943 
1.2343 0.232369 
1.2566 0.231075 
1.2677 0.234046 
1.2912 0.235588 
1.3023 0.240240 
1.3135 0.245321 
1.3370 0.247059 
1.3592 0.248143 
1.3704 0.252289 
1.3938 0.254108 
1.4161 0.255640 
1.4272 0.260423 
1.4507 0.263089 
1.4619 0.267906 
1.4730 0.273927 
1.4965 0.275704 
1.5187 0.276253 
1.5299 0.279517 
1.5533 0.280173 
1.5645 0.285402 
1.5756 0.293729 
1.5867 0.298951 
1.6102 0.301866 
1.6325 0.303018 
1.6559 0.302956 
1.6782 0.302813 
1.6893 0.304010 
1.7128 0.304287 
1.7351 0.305589 
1.7462 0.309478 
1.7697 0.313052 
1.7808 0.317906 
1.7919 0.322412 
1.8154 0.327707 
1.8376 0.333097 
1.8487 0.337764 
1.8722 0.337861 
1.8945 0.338023 
1.9056 0.338994 
1.9291 0.339986 
1.9513 0.341279 
1.9624 0.344322 
1.9859 0.345198 
1.9970 0.347305 
2.0081 0.348542 
2.0193 0.349608 
2.0427 0.348655 
2.0650 0.348022 
2.0884 0.347992 
2.1107 0.347381 
2.1218 0.350245 
2.1453 0.349773 
2.1675 0.348592 
2.1786 0.349199 
2.2021 0.348285 
2.2243 0.346351 
2.2354 0.349122 
2.2589 0.348798 
2.2700 0.349032 
2.2811 0.351295 
2.2922 0.350136 
2.3157 0.346847 
2.3379 0.344025 
2.3490 0.341577 
2.3725 0.339873 
2.3947 0.337424 
2.4058 0.337502 
2.4293 0.336658 
2.4515 0.333827 
2.4626 0.332409 
2.4861 0.329144 
2.4972 0.326387 
2.5083 0.323861 
2.5194 0.322631 
2.5429 0.317969 
2.5651 0.312512 
2.5885 0.310622 
2.6107 0.310515 
2.6219 0.311469 
2.6453 0.312521 
2.6675 0.311028 
2.6786 0.309574 
2.6897 0.308429 
