x  f 
mm   
0.0000 158419.209100 
0.0230 0.690825 
0.0442 0.360650 
0.0672 0.234344 
0.0902 0.163371 
0.1115 0.127725 
0.1345 0.102575 
0.1557 0.090267 
0.1787 0.087659 
0.1999 0.086431 
0.2229 0.085327 
0.2441 0.082824 
0.2671 0.077426 
0.2901 0.071397 
0.3113 0.067989 
0.3343 0.066896 
0.3555 0.068359 
0.3785 0.070177 
0.3998 0.071092 
0.4227 0.071081 
0.4440 0.070560 
0.4669 0.070332 
0.4899 0.071217 
0.5111 0.072628 
0.5341 0.074492 
0.5553 0.075430 
0.5783 0.075514 
0.5995 0.075689 
0.6225 0.075653 
0.6437 0.076988 
0.6667 0.079107 
0.6897 0.082279 
0.7109 0.084040 
0.7339 0.086041 
0.7551 0.087835 
0.7781 0.089177 
0.7993 0.091899 
0.8222 0.093682 
0.8434 0.096546 
0.8664 0.098650 
0.8876 0.100876 
0.9106 0.102632 
0.9336 0.104462 
0.9548 0.106768 
0.9777 0.108317 
0.9989 0.109879 
1.0219 0.110915 
1.0431 0.111951 
1.0661 0.113481 
1.0873 0.115599 
1.1102 0.117469 
1.1314 0.118955 
1.1544 0.120434 
1.1773 0.121890 
1.1985 0.123603 
1.2215 0.126303 
1.2427 0.129894 
1.2656 0.132879 
1.2868 0.134650 
1.3098 0.136601 
1.3310 0.138765 
1.3539 0.140200 
1.3751 0.142941 
1.3981 0.144981 
1.4193 0.146821 
1.4422 0.150079 
1.4652 0.153431 
1.4863 0.157384 
1.5093 0.161795 
1.5305 0.166204 
1.5534 0.170082 
1.5746 0.174026 
1.5976 0.177272 
1.6187 0.180707 
1.6417 0.184494 
1.6629 0.188875 
1.6858 0.193391 
1.7070 0.197595 
1.7299 0.201438 
1.7529 0.204196 
1.7740 0.206979 
1.7970 0.210025 
1.8181 0.213492 
1.8411 0.217260 
1.8623 0.221260 
1.8852 0.225125 
1.9064 0.229305 
1.9293 0.233085 
1.9505 0.237652 
1.9734 0.242043 
1.9946 0.245996 
2.0175 0.249848 
2.0387 0.254078 
2.0616 0.257885 
2.0828 0.262100 
2.1057 0.266190 
2.1269 0.269816 
2.1498 0.272660 
2.1727 0.275920 
2.1939 0.280718 
2.2168 0.285196 
2.2380 0.289830 
2.2609 0.294443 
2.2820 0.298334 
2.3050 0.301770 
2.3261 0.305770 
2.3490 0.308903 
2.3702 0.312136 
2.3931 0.315354 
2.4143 0.318400 
2.4372 0.321058 
2.4583 0.324147 
2.4812 0.327000 
2.5024 0.330324 
2.5253 0.333856 
2.5465 0.337420 
2.5694 0.340275 
2.5905 0.342978 
2.6134 0.345234 
2.6363 0.347353 
2.6575 0.350390 
2.6804 0.353467 
2.7015 0.356992 
2.7244 0.360206 
2.7456 0.363017 
2.7685 0.365883 
2.7896 0.368965 
2.8125 0.371531 
2.8337 0.374925 
2.8566 0.377679 
2.8777 0.379845 
2.9006 0.382285 
2.9218 0.384695 
2.9447 0.386953 
2.9658 0.389729 
2.9887 0.392247 
3.0098 0.394714 
3.0327 0.396920 
3.0539 0.399365 
3.0768 0.401502 
3.0979 0.403343 
3.1208 0.404716 
3.1419 0.406538 
