x  f 
mm   
0.0000 11385.088402 
0.0269 0.083810 
0.0538 0.045896 
0.0788 0.039710 
0.1058 0.035957 
0.1308 0.034876 
0.1577 0.038170 
0.1827 0.039577 
0.2096 0.041610 
0.2365 0.044552 
0.2615 0.044673 
0.2884 0.044744 
0.3134 0.044742 
0.3403 0.043204 
0.3653 0.043353 
0.3922 0.044039 
0.4172 0.045385 
0.4441 0.046114 
0.4691 0.046669 
0.4960 0.046864 
0.5229 0.046912 
0.5479 0.047887 
0.5748 0.049519 
0.5998 0.051601 
0.6267 0.053657 
0.6516 0.056111 
0.6785 0.058047 
0.7035 0.060344 
0.7304 0.061848 
0.7554 0.063061 
0.7823 0.063935 
0.8092 0.064014 
0.8341 0.064403 
0.8610 0.065075 
0.8860 0.066632 
0.9129 0.068902 
0.9378 0.071367 
0.9647 0.073198 
0.9897 0.074330 
1.0166 0.074557 
1.0415 0.074724 
1.0684 0.075061 
1.0934 0.076300 
1.1203 0.078321 
1.1452 0.081695 
1.1721 0.084439 
1.1990 0.086311 
1.2239 0.088258 
1.2508 0.090016 
1.2758 0.091986 
1.3026 0.094261 
1.3276 0.096869 
1.3544 0.098829 
1.3794 0.100551 
1.4063 0.102455 
1.4312 0.104291 
1.4581 0.105984 
1.4830 0.107914 
1.5099 0.110142 
1.5348 0.112318 
1.5617 0.114912 
1.5866 0.118315 
1.6135 0.120977 
1.6403 0.124164 
1.6653 0.127694 
1.6921 0.130683 
1.7171 0.134173 
1.7439 0.137314 
1.7689 0.140225 
1.7957 0.143573 
1.8206 0.146519 
1.8475 0.149415 
1.8724 0.152547 
1.8993 0.155525 
1.9242 0.159179 
1.9510 0.162659 
1.9760 0.165889 
2.0028 0.168852 
2.0277 0.172004 
2.0546 0.174921 
2.0795 0.178514 
2.1063 0.182025 
2.1313 0.185539 
2.1581 0.189168 
2.1830 0.192594 
2.2098 0.195248 
2.2348 0.198634 
2.2616 0.201903 
2.2865 0.205298 
2.3133 0.208482 
2.3402 0.211351 
2.3651 0.214198 
2.3919 0.216844 
2.4168 0.219993 
2.4436 0.223548 
2.4685 0.227394 
2.4954 0.231071 
2.5203 0.235140 
2.5471 0.238531 
2.5720 0.242119 
2.5988 0.245945 
