x  f 
mm   
0.0000 14323878.261210 
0.0340 42.031237 
0.0704 20.322199 
0.1044 13.665829 
0.1407 10.143120 
0.1793 7.963756 
0.2156 6.623514 
0.2496 5.732846 
0.2859 5.013068 
0.3222 4.454799 
0.3585 4.016322 
0.3948 3.658321 
0.4334 3.342502 
0.4697 3.094743 
0.5014 2.909236 
0.5423 2.698844 
0.5785 2.537334 
0.6126 2.406102 
0.6488 2.280986 
0.6828 2.177701 
0.7214 2.072635 
0.7554 1.989606 
0.7917 1.910025 
0.8302 1.832950 
0.8642 1.772886 
0.9005 1.715045 
0.9345 1.663091 
0.9730 1.608357 
1.0093 1.563596 
1.0455 1.520762 
1.0795 1.485097 
1.1158 1.451221 
1.1520 1.417764 
1.1860 1.390205 
1.2245 1.362658 
1.2608 1.338617 
1.2947 1.320302 
1.3333 1.299827 
1.3695 1.282963 
1.4035 1.271104 
1.4397 1.258892 
1.4759 1.249366 
1.5122 1.241957 
1.5484 1.237315 
1.5846 1.236040 
1.6209 1.235841 
1.6548 1.239222 
1.6910 1.243868 
1.7273 1.249269 
1.7635 1.256740 
1.7997 1.267738 
1.8359 1.278898 
1.8721 1.291592 
1.9083 1.307452 
1.9445 1.323839 
1.9807 1.341573 
2.0147 1.364299 
2.0509 1.386126 
2.0871 1.409150 
2.1233 1.434120 
2.1595 1.458716 
2.1957 1.483940 
2.2319 1.509448 
2.2681 1.535704 
2.3042 1.563034 
2.3382 1.592275 
2.3744 1.621317 
2.4105 1.650016 
2.4467 1.678390 
2.4829 1.707310 
2.5191 1.735458 
2.5552 1.762840 
2.5914 1.790053 
2.6253 1.817583 
2.6615 1.842450 
2.6977 1.867133 
2.7338 1.889901 
2.7700 1.910851 
2.8061 1.931089 
2.8400 1.950090 
2.8762 1.965480 
2.9124 1.979182 
2.9485 1.991212 
2.9824 2.002476 
3.0140 2.012553 
3.0479 2.019292 
3.0841 2.020732 
3.1157 2.022943 
3.1518 2.020724 
3.1880 2.014820 
3.2218 2.007896 
3.2580 1.997467 
3.2941 1.984487 
3.3280 1.971044 
3.3641 1.955234 
3.4002 1.937903 
3.4341 1.920700 
3.4702 1.901410 
3.5063 1.881377 
3.5425 1.861112 
3.5763 1.842954 
3.6124 1.824577 
3.6485 1.806206 
3.6847 1.789242 
3.7185 1.775003 
3.7546 1.761291 
3.7907 1.749653 
3.8268 1.738490 
3.8629 1.729623 
3.8968 1.723637 
3.9329 1.719118 
3.9690 1.718951 
4.0051 1.722484 
4.0411 1.730046 
4.0772 1.743140 
4.1133 1.761665 
4.1471 1.785040 
4.1832 1.815702 
4.2193 1.852017 
4.2554 1.892281 
4.2915 1.937931 
4.3253 1.987660 
4.3614 2.040560 
4.3974 2.098995 
4.4335 2.159446 
4.4696 2.220117 
4.5056 2.280481 
4.5394 2.341363 
4.5755 2.403102 
4.6116 2.464854 
4.6476 2.527660 
4.6837 2.589822 
4.7175 2.649907 
4.7535 2.708834 
4.7896 2.767239 
4.8256 2.826025 
4.8594 2.885802 
4.8954 2.942658 
4.9315 2.996930 
4.9675 3.047479 
5.0013 3.098649 
5.0373 3.145326 
5.0734 3.189817 
5.1094 3.232122 
5.1432 3.272643 
5.1792 3.307622 
5.2152 3.337882 
5.2490 3.365132 
5.2850 3.387260 
5.3211 3.405774 
5.3548 3.422068 
5.3908 3.433500 
5.4268 3.438208 
5.4606 3.438794 
5.4966 3.432546 
5.5326 3.418679 
5.5664 3.399614 
5.6024 3.374992 
5.6384 3.341518 
5.6721 3.303365 
5.7081 3.259609 
5.7441 3.208683 
5.7779 3.153860 
5.8139 3.091628 
5.8498 3.021574 
5.8858 2.947979 
5.9196 2.873140 
5.9556 2.795098 
5.9915 2.716150 
6.0253 2.634027 
6.0612 2.548516 
6.0972 2.460784 
6.1309 2.372106 
6.1669 2.282185 
6.2029 2.190756 
6.2366 2.098501 
6.2726 2.002577 
6.3085 1.905383 
6.3423 1.806959 
6.3782 1.706826 
6.4142 1.607094 
6.4479 1.505216 
6.4838 1.401635 
6.5198 1.296041 
6.5557 1.188042 
6.5894 1.078692 
6.6254 0.968690 
6.6613 0.859957 
6.6950 0.752873 
6.7310 0.648156 
6.7669 0.546037 
