x  f 
mm   
0.0000 13875.287648 
0.0329 0.031493 
0.0659 0.009665 
0.1010 0.003155 
0.1339 0.001344 
0.1669 0.000912 
0.2020 0.001788 
0.2349 0.002693 
0.2678 0.004278 
0.3030 0.005582 
0.3359 0.006638 
0.3688 0.007516 
0.4039 0.008048 
0.4368 0.008491 
0.4697 0.009575 
0.5048 0.010520 
0.5377 0.010764 
0.5729 0.010646 
0.6058 0.010304 
0.6387 0.009673 
0.6738 0.009430 
0.7067 0.009572 
0.7396 0.009928 
0.7747 0.010167 
0.8076 0.010625 
0.8404 0.010808 
0.8755 0.010364 
0.9084 0.010524 
0.9413 0.010761 
0.9764 0.010728 
1.0093 0.010976 
1.0422 0.011173 
1.0772 0.011679 
1.1101 0.012458 
1.1430 0.013184 
1.1781 0.013282 
1.2109 0.012927 
1.2438 0.012653 
1.2789 0.012430 
1.3118 0.012446 
1.3446 0.012084 
1.3797 0.012036 
1.4126 0.011994 
1.4454 0.011989 
1.4805 0.012092 
1.5133 0.012189 
1.5462 0.012070 
1.5812 0.012156 
1.6141 0.012442 
1.6469 0.012454 
1.6820 0.012609 
1.7148 0.012809 
1.7477 0.013441 
1.7827 0.014091 
1.8156 0.014787 
1.8484 0.015555 
1.8834 0.016099 
1.9163 0.016775 
1.9491 0.017783 
1.9842 0.018746 
2.0170 0.019721 
2.0498 0.020689 
2.0827 0.021622 
2.1177 0.022403 
2.1505 0.023705 
2.1833 0.024849 
2.2183 0.025805 
2.2512 0.026884 
2.2840 0.027643 
2.3190 0.028606 
2.3518 0.029922 
2.3846 0.031483 
2.4196 0.032726 
2.4524 0.034037 
2.4853 0.035107 
2.5181 0.036016 
2.5531 0.037329 
2.5859 0.038592 
2.6187 0.039783 
2.6537 0.040870 
2.6865 0.042158 
2.7193 0.043668 
2.7542 0.045435 
2.7870 0.047293 
2.8198 0.048771 
2.8526 0.050504 
2.8876 0.052216 
2.9204 0.054440 
2.9532 0.056992 
2.9882 0.059417 
3.0209 0.061750 
3.0537 0.063931 
3.0865 0.066226 
3.1215 0.068393 
3.1542 0.071271 
3.1870 0.073846 
3.2220 0.076192 
3.2548 0.078964 
3.2875 0.081086 
3.3203 0.083491 
3.3552 0.086051 
3.3880 0.088564 
3.4208 0.091202 
3.4557 0.093754 
3.4885 0.096473 
3.5212 0.099010 
3.5540 0.101577 
3.5889 0.104346 
3.6217 0.107368 
3.6544 0.110549 
3.6872 0.113543 
3.7221 0.116370 
3.7549 0.118975 
3.7876 0.121851 
3.8225 0.124890 
3.8553 0.128165 
3.8880 0.131533 
3.9208 0.134826 
3.9557 0.138239 
3.9884 0.141879 
4.0212 0.145724 
4.0539 0.149545 
4.0888 0.153129 
4.1215 0.156431 
4.1543 0.159781 
4.1870 0.163099 
4.2219 0.166424 
4.2546 0.169953 
4.2873 0.173298 
4.3200 0.176394 
4.3549 0.179205 
4.3877 0.182173 
4.4204 0.185254 
4.4531 0.188459 
4.4880 0.191455 
4.5207 0.194391 
4.5534 0.197394 
4.5861 0.200407 
4.6210 0.203224 
4.6537 0.206454 
4.6864 0.209499 
4.7191 0.212528 
4.7540 0.215736 
4.7866 0.218757 
4.8193 0.221704 
4.8520 0.224644 
4.8869 0.227329 
4.9196 0.230410 
4.9523 0.233341 
4.9850 0.236008 
5.0198 0.238675 
5.0525 0.241363 
5.0852 0.244007 
5.1179 0.246548 
5.1527 0.248969 
5.1854 0.251101 
5.2181 0.253276 
5.2507 0.255714 
5.2856 0.257725 
5.3183 0.259903 
5.3509 0.262018 
5.3836 0.264025 
5.4162 0.266092 
5.4511 0.268060 
5.4837 0.270118 
5.5164 0.272074 
5.5491 0.274093 
5.5817 0.276021 
5.6165 0.277757 
5.6492 0.279573 
5.6818 0.281445 
5.7167 0.283335 
5.7493 0.285445 
5.7820 0.287499 
5.8146 0.289412 
5.8472 0.291314 
5.8799 0.292970 
5.9147 0.294604 
5.9473 0.296213 
5.9800 0.297912 
6.0126 0.299610 
6.0474 0.300968 
6.0800 0.302432 
6.1127 0.303549 
6.1453 0.304829 
6.1779 0.306290 
6.2127 0.307636 
6.2453 0.309118 
6.2780 0.310326 
6.3106 0.311482 
6.3454 0.312591 
6.3780 0.313695 
6.4106 0.314933 
6.4432 0.316118 
6.4758 0.317390 
6.5084 0.318510 
6.5432 0.319632 
6.5758 0.320842 
6.6084 0.321633 
6.6410 0.322700 
6.6736 0.323746 
6.7084 0.324573 
6.7410 0.325662 
6.7736 0.326426 
6.8062 0.327075 
6.8409 0.327707 
6.8735 0.328436 
6.9061 0.329386 
6.9387 0.330203 
6.9713 0.330950 
7.0060 0.331501 
7.0386 0.332027 
7.0712 0.332441 
7.1038 0.332721 
7.1363 0.332875 
7.1711 0.332643 
7.2037 0.332533 
7.2362 0.332431 
7.2688 0.332492 
7.3014 0.332700 
7.3339 0.332718 
7.3687 0.332606 
7.4012 0.332559 
7.4338 0.332516 
7.4664 0.332581 
7.4989 0.332595 
7.5336 0.332363 
7.5662 0.332231 
7.5987 0.332089 
7.6313 0.331884 
7.6638 0.331897 
7.6964 0.331754 
7.7311 0.331493 
7.7637 0.331289 
7.7962 0.330867 
7.8287 0.330623 
7.8613 0.330475 
7.8938 0.330451 
7.9285 0.330327 
7.9611 0.330339 
7.9936 0.330216 
8.0261 0.329835 
8.0586 0.329268 
8.0933 0.328477 
8.1259 0.327973 
8.1584 0.327711 
8.1909 0.327577 
8.2234 0.327425 
8.2560 0.327062 
8.2906 0.326573 
8.3232 0.326215 
8.3557 0.325916 
8.3882 0.325646 
8.4207 0.325448 
8.4532 0.325144 
8.4879 0.324757 
