x  f 
mm   
0.0000 28542.486318 
0.0241 0.170238 
0.0482 0.105857 
0.0723 0.078162 
0.0964 0.060312 
0.1224 0.048543 
0.1465 0.042599 
0.1706 0.042478 
0.1947 0.043344 
0.2187 0.044563 
0.2428 0.044607 
0.2669 0.042009 
0.2910 0.040814 
0.3151 0.040722 
0.3411 0.042537 
0.3652 0.045313 
0.3892 0.046607 
0.4133 0.046470 
0.4374 0.046020 
0.4615 0.045779 
0.4856 0.044984 
0.5097 0.045196 
0.5338 0.045563 
0.5579 0.046681 
0.5838 0.048713 
0.6079 0.050827 
0.6319 0.051790 
0.6560 0.051775 
0.6801 0.050832 
0.7042 0.049932 
0.7283 0.050087 
0.7523 0.051008 
0.7764 0.052815 
0.8005 0.054979 
0.8246 0.056454 
0.8505 0.057860 
0.8746 0.059698 
0.8986 0.061222 
0.9227 0.063730 
0.9468 0.065754 
0.9708 0.067420 
0.9949 0.069669 
1.0190 0.071807 
1.0430 0.074529 
1.0671 0.077249 
1.0912 0.079441 
1.1171 0.081846 
1.1411 0.084528 
1.1652 0.087285 
1.1893 0.089909 
1.2133 0.091862 
1.2374 0.093567 
1.2614 0.095307 
1.2855 0.097445 
1.3095 0.099375 
1.3336 0.101377 
1.3577 0.103009 
1.3836 0.105106 
1.4076 0.107966 
1.4317 0.110475 
1.4557 0.113151 
1.4798 0.115606 
1.5038 0.118195 
1.5279 0.120914 
1.5519 0.123633 
1.5760 0.125724 
1.6000 0.127586 
1.6240 0.129472 
1.6481 0.131736 
1.6740 0.134529 
1.6980 0.137229 
1.7221 0.139969 
1.7461 0.142425 
1.7701 0.144704 
1.7942 0.147265 
1.8182 0.150072 
1.8422 0.153056 
1.8663 0.155717 
1.8903 0.158290 
1.9144 0.160890 
1.9384 0.163796 
1.9624 0.167203 
1.9864 0.170726 
2.0105 0.174192 
2.0364 0.177097 
2.0604 0.179846 
2.0844 0.182781 
2.1084 0.185679 
2.1325 0.188449 
2.1565 0.191075 
2.1805 0.193593 
2.2045 0.196331 
2.2286 0.199309 
2.2526 0.202663 
2.2766 0.205774 
2.3006 0.208940 
2.3246 0.211849 
2.3486 0.214567 
2.3745 0.217100 
2.3985 0.219763 
2.4225 0.222983 
2.4466 0.226409 
2.4706 0.230317 
2.4946 0.233924 
2.5186 0.237041 
2.5426 0.239746 
2.5666 0.242274 
2.5906 0.244980 
2.6146 0.247897 
2.6386 0.250896 
2.6626 0.254094 
2.6866 0.257392 
2.7106 0.260845 
2.7347 0.264413 
2.7587 0.267357 
