x  f 
mm   
0.0000 17786.113963 
0.0166 0.169362 
0.0481 0.068298 
0.0812 0.041820 
0.0978 0.036926 
0.1309 0.038681 
0.1474 0.044472 
0.1640 0.050796 
0.1956 0.053510 
0.2287 0.050746 
0.2452 0.051680 
0.2618 0.052649 
0.2783 0.053349 
0.3099 0.052842 
0.3430 0.054692 
0.3595 0.058619 
0.3761 0.065940 
0.3926 0.071368 
0.4091 0.075390 
0.4407 0.076856 
0.4738 0.075101 
0.4903 0.075828 
0.5069 0.076649 
0.5234 0.077134 
0.5399 0.078663 
0.5715 0.077013 
0.6046 0.075362 
0.6211 0.077841 
0.6377 0.081230 
0.6542 0.085811 
0.6707 0.091715 
0.7023 0.094875 
0.7354 0.096451 
0.7519 0.099914 
0.7684 0.102809 
0.7850 0.104916 
0.8165 0.105656 
0.8496 0.106474 
0.8661 0.110543 
0.8992 0.112165 
0.9157 0.115038 
0.9472 0.116159 
0.9638 0.118171 
0.9803 0.119998 
0.9968 0.121745 
1.0134 0.123033 
1.0299 0.124189 
1.0614 0.123976 
1.0945 0.124797 
1.1110 0.128747 
1.1440 0.130764 
1.1756 0.132565 
1.2086 0.133688 
1.2251 0.135866 
1.2417 0.137544 
1.2582 0.138672 
1.2897 0.137714 
1.3228 0.136073 
1.3393 0.136734 
1.3558 0.138530 
1.3723 0.141239 
1.3888 0.144738 
1.4204 0.147428 
1.4369 0.150672 
1.4534 0.153957 
1.4864 0.155077 
1.5179 0.155822 
1.5510 0.157149 
1.5675 0.158984 
1.5840 0.161455 
1.6005 0.164773 
1.6320 0.165064 
1.6650 0.166782 
1.6815 0.169532 
1.7146 0.170904 
1.7461 0.174123 
1.7791 0.175912 
1.7956 0.179929 
1.8121 0.182328 
1.8286 0.184355 
1.8601 0.186195 
1.8766 0.190058 
1.8931 0.194059 
1.9096 0.198105 
1.9261 0.200762 
1.9426 0.203339 
1.9741 0.204697 
1.9906 0.206539 
2.0236 0.207545 
2.0401 0.208997 
2.0716 0.209060 
2.1046 0.209384 
2.1211 0.211799 
2.1541 0.213897 
2.1856 0.216437 
2.2021 0.220565 
2.2186 0.224498 
2.2351 0.227333 
2.2516 0.230396 
2.2831 0.231647 
2.3161 0.231419 
2.3326 0.233310 
2.3491 0.234825 
2.3656 0.235838 
2.3970 0.237143 
2.4135 0.238592 
2.4300 0.239872 
2.4465 0.242975 
2.4630 0.245779 
2.4945 0.247724 
2.5275 0.249283 
2.5439 0.251764 
2.5604 0.253378 
2.5769 0.253809 
2.6084 0.252467 
2.6249 0.252294 
2.6414 0.252331 
2.6578 0.253412 
2.6743 0.255155 
2.7058 0.256306 
2.7223 0.257207 
2.7388 0.258772 
2.7552 0.258779 
2.7717 0.258790 
2.8032 0.257656 
2.8197 0.257817 
2.8362 0.259245 
2.8526 0.259508 
2.8691 0.260343 
2.9006 0.260154 
2.9335 0.260132 
2.9500 0.262622 
2.9665 0.266975 
2.9979 0.269699 
3.0144 0.272902 
3.0309 0.274027 
3.0474 0.275188 
3.0638 0.276303 
3.0953 0.275680 
3.1282 0.275996 
3.1447 0.276391 
3.1612 0.277694 
3.1926 0.278236 
3.2256 0.278756 
3.2420 0.280789 
3.2585 0.281673 
3.2899 0.282475 
3.3064 0.283250 
3.3229 0.284309 
3.3393 0.285319 
3.3558 0.286074 
3.3872 0.285397 
3.4037 0.285933 
3.4202 0.287385 
3.4531 0.286221 
3.4845 0.287105 
3.5010 0.289173 
3.5175 0.289196 
3.5339 0.289078 
