x  f 
mm   
0.0000 7601.709022 
0.0319 0.052206 
0.0616 0.039597 
0.0935 0.030541 
0.1253 0.023706 
0.1572 0.019163 
0.1891 0.014968 
0.2209 0.013137 
0.2528 0.012757 
0.2846 0.012951 
0.3165 0.014208 
0.3462 0.014276 
0.3781 0.013843 
0.4099 0.014307 
0.4418 0.014499 
0.4736 0.014827 
0.5055 0.015040 
0.5373 0.014811 
0.5670 0.015081 
0.5989 0.015433 
0.6307 0.015734 
0.6626 0.015913 
0.6944 0.015582 
0.7262 0.015550 
0.7581 0.014947 
0.7878 0.014812 
0.8196 0.014603 
0.8514 0.013793 
0.8833 0.013683 
0.9151 0.013713 
0.9469 0.014789 
0.9787 0.015627 
1.0084 0.016594 
1.0403 0.017044 
1.0721 0.017131 
1.1039 0.017531 
1.1357 0.018060 
1.1675 0.018760 
1.1993 0.019322 
1.2290 0.019792 
1.2608 0.020375 
1.2927 0.021047 
1.3245 0.021959 
1.3563 0.023113 
1.3881 0.024132 
1.4199 0.025506 
1.4495 0.026694 
1.4813 0.028246 
1.5131 0.029962 
1.5449 0.031308 
1.5767 0.032876 
1.6085 0.034159 
1.6382 0.035389 
1.6700 0.036411 
1.7018 0.037136 
1.7336 0.038141 
1.7653 0.038992 
1.7971 0.040135 
1.8289 0.041650 
1.8586 0.043079 
1.8904 0.045193 
1.9221 0.047352 
1.9539 0.049212 
1.9857 0.051072 
2.0174 0.052250 
2.0471 0.053465 
2.0789 0.054454 
2.1106 0.055383 
2.1424 0.056778 
2.1742 0.058186 
2.2059 0.059885 
2.2356 0.061627 
2.2673 0.063397 
2.2991 0.065174 
2.3309 0.067147 
2.3626 0.069228 
2.3944 0.070994 
2.4240 0.073156 
2.4557 0.075462 
2.4875 0.078022 
2.5192 0.081033 
2.5510 0.083473 
2.5827 0.085453 
2.6124 0.087253 
2.6441 0.088882 
2.6758 0.090660 
2.7076 0.092410 
2.7393 0.094288 
2.7689 0.096351 
2.8007 0.098333 
2.8324 0.100479 
2.8641 0.102509 
2.8959 0.104696 
2.9276 0.106837 
2.9572 0.109287 
2.9889 0.111974 
3.0206 0.114572 
3.0524 0.117459 
3.0841 0.120114 
3.1137 0.122448 
3.1454 0.124763 
3.1771 0.126614 
3.2088 0.128658 
3.2406 0.131136 
3.2701 0.133615 
3.3019 0.136346 
3.3336 0.139109 
3.3653 0.141991 
3.3970 0.145187 
3.4266 0.148187 
3.4583 0.151103 
3.4900 0.153785 
3.5217 0.156094 
3.5534 0.158786 
3.5851 0.161347 
3.6146 0.164181 
3.6463 0.167063 
3.6780 0.169741 
3.7097 0.172302 
3.7414 0.174601 
3.7710 0.176925 
3.8027 0.178922 
3.8343 0.181392 
3.8660 0.184112 
3.8977 0.186920 
3.9273 0.190131 
3.9589 0.192943 
3.9906 0.195968 
4.0223 0.198950 
4.0519 0.201882 
4.0835 0.204838 
4.1152 0.207640 
4.1469 0.210494 
4.1785 0.213350 
4.2081 0.216540 
4.2397 0.219482 
4.2714 0.222475 
4.3031 0.225286 
4.3347 0.227993 
4.3643 0.230912 
4.3959 0.233863 
4.4276 0.236761 
4.4592 0.239617 
4.4909 0.242325 
4.5204 0.244972 
4.5521 0.247653 
4.5837 0.250365 
4.6154 0.253169 
4.6449 0.255971 
4.6765 0.258649 
4.7082 0.261469 
4.7398 0.264387 
4.7715 0.267418 
4.8010 0.270520 
4.8326 0.273314 
